"","ID","canonisation_score","avg_differences","lang","wikiname","variations","author","author_firstname","wikiID","freq","repoID","pub_year","genre","text_source"
"28","CAMILLA_Q2934813",0.550971056761127,0.109087782701422,"ENG","CAMILLA","['Camilla', 'Camilla, or, a Picture of Youth', 'Camilla, or a Picture of Youth', 'Camilla; or, A Picture of Youth']","Burney","Fanny","Q2934813",26,"40619",1796,"([], ['novel'])","Gutenberg-US"
"29","CARMILLA_Q1043792",0.137472234822425,0.272669758327014,"ENG","CARMILLA","['Carmilla']","Sheridan Le Fanu","Joseph","Q1043792",6,"10007",1872,"(['fantasy', 'lesbian literature', 'vampire fiction', 'Gothic fiction'], ['novella', 'novel'])","Gutenberg-US"
"30","CASTLE_RACKRENT_Q5050238",0.86626658311391,0.088305636492891,"ENG","CASTLE_RACKRENT","['Castle Rackrent', 'In Castle Rackrent']","Edgeworth","Maria","Q5050238",63,"1424",1800,"(['political novel', 'historical fiction'], ['novel'])","Gutenberg-US"
"31","CECILIA_Q3233990",0.177146178958168,0.114595837630332,"ENG","CECILIA","['Cecilia']","Burney","Frances","Q3233990",8,"6346; 7146; 7152",1782,"(['novel'], ['novel'])","Gutenberg-US"
"32","CHRONICLES_OF_THE_CANONGATE_Q17352486",0.142891468333576,0.163917246350711,"ENG","CHRONICLES_OF_THE_CANONGATE","['Chronicles of the Canongate', ""The Surgeon's Daughter""]","Scott","Walter","Q17352486",7,"1828",1827,"collection of stories","Gutenberg-US"
"33","CLARISSA_Q980534",0.965599150597217,0.180615688625592,"ENG","CLARISSA","['Clarissa', 'Clarissa Harlowe', 'In Clarissa', 'Clarissa, or The History of a Young Lady', 'Clarissa, or the History of a Young Lady']","Richardson","Samuel","Q980534",121,"https://standardebooks.org/ebooks/samuel-richardson/clarissa/download?format=epub",1748,"(['epistolary novel'], ['novel'])","https://standardebooks.org/ebooks"
"34","COELEBS_IN_SEARCH_OF_A_WIFE_Q5140605",0.0699415703280632,0.103575893270142,"ENG","COELEBS_IN_SEARCH_OF_A_WIFE","['Coelebs in Search of a Wife', 'Coelebs']","Moore","Hannah","Q5140605",10,"31879",1814,"([], ['novel'])","Gutenberg-US"
"35","CONFESSIONS_OF_A_THUG_(NOVEL)_Q5160036",0.0566567958260902,0.129861104028436,"ENG","CONFESSIONS_OF_A_THUG_(NOVEL)","['Confessions of a Thug', 'The Confessions of a Thug']","Taylor","Meadows ","Q5160036",5,"44881",1839,"([], ['novel'])","Gutenberg-US"
"36","CONFESSIONS_OF_A_YOUNG_MAN_Q5160039",0.137472234822425,0.231793203962085,"ENG","CONFESSIONS_OF_A_YOUNG_MAN","['Confessions of a Young Man']","Moore","George","Q5160039",6,"11654",1888,"memoir","Gutenberg-US"
"37","CRANFORD_(NOVEL)_Q265100",0.227753497177042,0.114522885165877,"ENG","CRANFORD_(NOVEL)","['Cranford']","Gaskell","Elizabeth","Q265100",15,"394",1851,"([], ['novel'])","Gutenberg-US"
"38","DANIEL_DERONDA_Q552238",0.69722573995813,0.113697309099526,"ENG","DANIEL_DERONDA","['Daniel Deronda']","Eliot","George","Q552238",40,"7469",1876,"(['Bildungsroman'], ['novel'])","Gutenberg-US"
"39","DAVID_COPPERFIELD_Q189811",0.46129393099787,0.082991306492891,"ENG","DAVID_COPPERFIELD","['David Copperfield', 'David Copperfield,']","Dickens","Charles","Q189811",18,"766",1850,"(['autobiographical novel', 'Bildungsroman'], ['novel'])","Gutenberg-US"
"40","DE_PROFUNDIS_(LETTER)_Q1249459",0.154263355437284,0.207320043175356,"ENG","DE_PROFUNDIS_(LETTER)","['De Profundis']","Wilde","Oscar","Q1249459",9,"921",1905,"(['epistle'], [])","Gutenberg-US"
"41","DOMBEY_AND_SON_Q963659",0.594948283367066,0.157138182322275,"ENG","DOMBEY_AND_SON","['Dombey and Son']","Dickens","Charles","Q963659",30,"821",1846,"(['social criticism'], ['novel'])","Gutenberg-US"
"42","DRACULA_Q41542",0.964677124546833,0.167985448341232,"ENG","DRACULA","['Dracula', 'In Dracula']","Stoker","Bram","Q41542",95,"345",1897,"(['epistolary novel', 'invasion literature', 'Gothic fiction', 'vampire fiction', 'horror fiction', 'Romanticism'], ['novel'])","Gutenberg-US"
"43","EAST_LYNNE_Q5328900",0.498261873505709,0.126295354075829,"ENG","EAST_LYNNE","['East Lynne']","Wood","Ellen","Q5328900",42,"3322",1861,"(['sensation fiction'], ['novel'])","Gutenberg-US"
"44","EMMA_(NOVEL)_Q223880",0.677911265542429,0.111777842606635,"ENG","EMMA_(NOVEL)","['Emma']","Austen","Jane","Q223880",38,"158",1815,"(['romantic fiction'], ['novel'])","Gutenberg-US"
"45","EMMELINE_Q5373421",0.137472234822425,0.127291751184834,"ENG","EMMELINE","['Emmeline, the Orphan of the Castle', 'Emmeline', 'Castle from Emmeline, the Orphan of the Castle']","Smith","Charlotte","Q5373421",6,"41646",1788,"(['Gothic fiction'], ['novel'])","Gutenberg-US"
"46","EREWHON_Q1350048",0.0699415703280632,0.130882082227488,"ENG","EREWHON","['Erewhon']","Butler","Samuel","Q1350048",10,"1906",1872,"(['science fiction', 'fantasy', 'satirical fiction', 'utopian fiction', 'lost world fiction'], ['novel'])","Gutenberg-US"
"47","EVELINA_Q1635110",0.57979506909561,0.146918464028436,"ENG","EVELINA","['Evelina']","Burney","Fanny","Q1635110",54,"6053",1778,"(['epistolary novel'], ['novel'])","Gutenberg-US"
"48","FAR_FROM_THE_MADDING_CROWD_Q5642996",0.323070787610778,0.124813066445498,"ENG","FAR_FROM_THE_MADDING_CROWD","['Far From the Madding Crowd', 'Far from the Madding Crowd']","Hardy","Thomas","Q5642996",5,"27",1874,"([], ['novel'])","Gutenberg-US"
"49","FELIX_HOLT_THE_RADICAL_Q5442230",0.154263355437284,0.0942832216113744,"ENG","FELIX_HOLT_THE_RADICAL","['Felix Holt', 'Felix Holt the Radical']","Eliot","George","Q5442230",9,"40882",1866,"(['social novel'], ['novel'])","Gutenberg-US"
"50","FRANKENSTEIN_Q150827",0.985957888404111,0.136521800853081,"ENG","FRANKENSTEIN","['Frankenstein', 'Frankenstein or the Modern Prometheus']","Shelley","Mary Wollstonecraft","Q150827",116,"84",1818,"(['epistolary novel', 'body horror literature', 'Gothic fiction', 'science fiction', 'fantasy'], ['novel'])","Gutenberg-US"
"51","GLENARVON_Q3771960",0.0566567958260902,0.111795546682464,"ENG","GLENARVON","['Glenarvon']","Lamb","Caroline","Q3771960",5,"68754; 68773; 68776",1816,"(['novel'], ['novel'])","Gutenberg-US"
"52","GREAT_EXPECTATIONS_Q219552",0.706633180000831,0.102154552417062,"ENG","GREAT_EXPECTATIONS","['Great Expectations', 'Pip in Great Expectations', 'Great Expectorations']","Dickens","Charles","Q219552",41,"1400",1861,"(['black comedy', 'Bildungsroman'], ['novel'])","Gutenberg-US"
"53","GULLIVER'S_TRAVELS_Q181488",0.971587266152791,0.118413106824645,"ENG","GULLIVER'S_TRAVELS","[""Gulliuer's Travels"", ""Gulliver's Travels"", 'Travels into Several Remote Nations of the World', 'Lemuel Gulliver, Travels into Several Remote Nations of the World', ""Gulliver's Travels(1726"", 'Gulliver in Lilliput', 'Gulliver']","Swift","Jonathan","Q181488",100,"829",1726,"(['satire', 'fantasy', 'dystopian fiction'], ['novel'])","Gutenberg-US"
"54","GUY_MANNERING_Q2288976",0.172694745758032,0.105025971374408,"ENG","GUY_MANNERING","['Guy Mannering']","Scott","Walter","Q2288976",12,"2590",1815,"(['historical novel'], [])","Gutenberg-US"
"55","HARD_TIMES_(NOVEL)_Q1340493",0.706633180000831,0.0830444572037915,"ENG","HARD_TIMES_(NOVEL)","['Hard Times', 'Sissy Jupe']","Dickens","Charles","Q1340493",41,"786",1854,"(['social novel', 'serialized fiction'], ['novel'])","Gutenberg-US"
"56","HE_KNEW_HE_WAS_RIGHT_noWikiID",0.75930721969968,0.118315691563981,"ENG","HE_KNEW_HE_WAS_RIGHT","['He Knew He Was Right']","Trollope","Anthony","noWikiID",8,"5140",1869,"novel","Gutenberg-US"
"57","HEART_OF_DARKNESS_Q129778",0.353247063375283,0.118047263791469,"ENG","HEART_OF_DARKNESS","['Heart of Darkness', 'Of Heart of Darkness']","Conrad","Joseph","Q129778",47,"219",1899,"(['fiction literature', 'serialized fiction'], ['novella'])","Gutenberg-US"
"58","HOLIDAY_HOUSE_noWikiID",0.0566567958260902,0.137174618957346,"ENG","HOLIDAY_HOUSE","['Holiday House']","Sinclair","Catherine","noWikiID",5,"32811",1839,"children's book","Gutenberg-US"
"59","HOWARDS_END_Q1146642",0.16636459934805,0.121414530805687,"ENG","HOWARDS_END","['Howards End', ""Howard's End"", 'Leonard Bast']","Forster","E. M.","Q1146642",11,"2891",1910,"(['family drama'], ['novel'])","Gutenberg-US"
"60","IT_IS_NEVER_TOO_LATE_TO_MEND_(NOVEL)_Q6091852",0.0616594855735503,0.115487715971564,"ENG","IT_IS_NEVER_TOO_LATE_TO_MEND_(NOVEL)","[""It's Never Too Late"", ""It's Never Too Late to Mend"", ""It's Never Too Late To Mend"", 'It Is Never Too Late to Mend', 'It is Never Too Late to Mend']","Reade","Charles","Q6091852",7,"4606",1856,"([], ['novel'])","Gutenberg-US"
"61","IVANHOE_Q840974",0.706633180000831,0.11355067442654,"ENG","IVANHOE","['Ivanhoe', 'Ivanhoe: A Romance']","Scott","Walter","Q840974",41,"82",1820,"(['historical fiction'], ['novel'])","Gutenberg-US"
"62","JACK_SHEPPARD_noWikiID",0.049863479389024,0.115724848672986,"ENG","JACK_SHEPPARD","['Jack Sheppard']","Ainsworth","William Harrison","noWikiID",2,"16215",1839,"([], ['novel'])","Gutenberg-US"
"63","JANE_EYRE_Q182961",0.993700367636865,0.175246668104265,"ENG","JANE_EYRE","['Jane Eyre', 'Jane Eyre: An Autobiography']","Brontë","Charlotte","Q182961",134,"1260",1847,"(['education novel', 'autobiographical novel', 'romance novel', 'Gothic fiction'], ['novel'])","Gutenberg-US"
"64","JESSICA'S_FIRST_PRAYER_noWikiID",0.0591085593605752,0.210559201421801,"ENG","JESSICA'S_FIRST_PRAYER","[""Jessica's First Prayer""]","Stretton","Hesba","noWikiID",6,"50104",1867,"children's book","Gutenberg-US"
"65","JOHN_HALIFAX_GENTLEMAN_Q6237289",0.132226821715085,0.113443505971564,"ENG","JOHN_HALIFAX_GENTLEMAN","['John Halifax, Gentleman']","Craik","Dinah","Q6237289",5,"2351",1856,"([], ['novel'])","Gutenberg-US"
"66","JUDE_THE_OBSCURE_Q1248773",0.573104135313384,0.0940158869668246,"ENG","JUDE_THE_OBSCURE","['Jude the Obscure', 'Jude The Obscure']","Hardy","Thomas","Q1248773",28,"153",1894,"([], ['novel'])","Gutenberg-US"
"67","KIDNAPPED_(NOVEL)_Q2349094",0.384640372733741,0.185111006113744,"ENG","KIDNAPPED_(NOVEL)","['Kidnapped']","Stevenson","Robert Louis","Q2349094",11,"421",1886,"(['adventure novel', 'historical novel', 'fiction', ""children's literature""], ['novel'])","Gutenberg-US"
"68","KIM_(NOVEL)_Q589868",0.68764997588443,0.0980285639336492,"ENG","KIM_(NOVEL)","['Kim', ""Kimball O'Hara""]","Kipling","Rudyard","Q589868",39,"2226",1901,"(['espionage novel'], [])","Gutenberg-US"
"69","KING_SOLOMON'S_MINES_Q1137494",0.406135180117558,0.103024748909953,"ENG","KING_SOLOMON'S_MINES","[""King Solomon's Mines""]","Haggard","H. Rider","Q1137494",13,"2166",1885,"(['adventure novel', 'lost world fiction'], ['novel'])","Gutenberg-US"
"70","KIPPS_Q1249082",0.142891468333576,0.15017026507109,"ENG","KIPPS","['Kipps']","Wells","H. G.","Q1249082",7,"39162",1906,"(['social novel', 'comic novel'], ['novel'])","Gutenberg-US"
"71","KNOCKNAGOW_noWikiID",0.0643129761992644,0.122587719810427,"ENG","KNOCKNAGOW","['If Knocknagow', 'Knocknagow']","Kickham","Charles","noWikiID",8,"https://www.exclassics.com/knockngw/knock.txt",1879,"novel","Exclassics"
"72","LADY_AUDLEY'S_SECRET_Q2738351",0.769791600120154,0.137182578957346,"ENG","LADY_AUDLEY'S_SECRET","[""Lady Audley's Secret"", ""When Lady Audley's Secret"", ""Lady Audley's Secrets"", ""Lady Audley' s Secret""]","Braddon","Mary Elizabeth","Q2738351",69,"8954",1862,"(['sensation fiction'], [])","Gutenberg-US"
"73","LITTLE_DORRIT_Q565638",0.677911265542429,0.129030970094787,"ENG","LITTLE_DORRIT","['Little Dorrit', 'Little Dorritt', 'Amy Dorrit']","Dickens","Charles","Q565638",38,"963",1855,"([], ['novel'])","Gutenberg-US"
"74","LOVE_IN_EXCESS;_OR_THE_FATAL_ENQUIRY_Q1588738",0.127152048513252,0.189585056018957,"ENG","LOVE_IN_EXCESS;_OR_THE_FATAL_ENQUIRY","['Love in Excess']","Haywood","Eliza","Q1588738",20,"67612",1719,"(['romance novel'], [])","Gutenberg-US"
"75","LOVE_INTRIGUES_noWikiID",0.23024672621441,0.339194281023697,"ENG","LOVE_INTRIGUES","['Love Intrigues']","Barker","Jane","noWikiID",4,"ebooks@adelaide",1713,"novel","ebooks@adelaide"
"76","MANSFIELD_PARK_Q469690",0.637452560360192,0.0842064456398105,"ENG","MANSFIELD_PARK","['Mansfield Park']","Austen","Jane","Q469690",34,"141",1814,"(['romantic fiction'], ['novel'])","Gutenberg-US"
"77","MARIUS_THE_EPICUREAN_Q5477441",0.148487553986026,0.174886259886256,"ENG","MARIUS_THE_EPICUREAN","['Marius the Epicurean', 'Marius, the Epicurean']","Pater","Walter","Q5477441",8,"4058",1885,"(['philosophical fiction', 'historical fiction'], ['novel'])","Gutenberg-US"
"78","MARTIN_CHUZZLEWIT_Q1903609",0.395337204568379,0.100498605023697,"ENG","MARTIN_CHUZZLEWIT","['Martin Chuzzlewit', 'Pecksniff']","Dickens","Charles","Q1903609",12,"968",1844,"(['social criticism'], ['novel'])","Gutenberg-US"
"79","MARY_BARTON_Q2607078",0.619558723877394,0.138558712227488,"ENG","MARY_BARTON","['Mary Barton', 'In Mary Barton']","Gaskell","Elizabeth","Q2607078",53,"2153",1848,"(['novel'], ['novel'])","Gutenberg-US"
"80","MELMOTH_THE_WANDERER_Q1475956",0.356287748913087,0.105414000379147,"ENG","MELMOTH_THE_WANDERER","['Melmoth the Wanderer', 'Melmoth the Wanderer: A Tale', 'Melmoth theWanderer']","Maturin","Charles Robert","Q1475956",29,"53685; 53686; 53687; 53688",1820,"(['Gothic novel'], [])","Gutenberg-US"
"81","MEMOIRS_OF_A_CAVALIER_Q6815274",0.137472234822425,0.234090715876777,"ENG","MEMOIRS_OF_A_CAVALIER","['Memoirs of a Cavalier', 'If Memoirs of a Cavalier']","Defoe","Daniel","Q6815274",6,"12259",1720,"(['historical fiction'], ['novel'])","Gutenberg-US"
"82","MEMOIRS_OF_EMMA_COURTNEY_Q2395365",0.197672587097148,0.101464579952607,"ENG","MEMOIRS_OF_EMMA_COURTNEY","['Memoirs of Emma Courtney', 'Emma', 'The Memoirs of Emma Courtney']","Hays","Mary","Q2395365",11,"41256",1796,"([], ['novel'])","Gutenberg-US"
"83","MIDDLEMARCH_Q313129",0.976152943083648,0.178848157109005,"ENG","MIDDLEMARCH","['Middlemarch']","Eliot","George","Q313129",104,"145",1871,"(['realist novel'], ['novel'])","Gutenberg-US"
"84","MOLL_FLANDERS_Q612523",0.605736576985184,0.0887333562085307,"ENG","MOLL_FLANDERS","['Moll Flanders', 'Moll Flanders Defoe']","Defoe","Daniel","Q612523",31,"370",1722,"(['picaresque novel'], ['novel'])","Gutenberg-US"
"85","MORAL_TALES_noWikiID",0.132226821715085,0.130025267962085,"ENG","MORAL_TALES","['Moral Tales']","Edgeworth","Maria","noWikiID",5,"8826",1802,"collection of stories","Gutenberg-US"
"86","NEW_GRUB_STREET_noWikiID",0.384640372733741,0.102752267630332,"ENG","NEW_GRUB_STREET","['New Grub Street']","Gissing","George","noWikiID",15,"1709",1891,"novel","Gutenberg-US"
"87","NEWS_FROM_NOWHERE_Q7019506",0.427995724732536,0.120058338483412,"ENG","NEWS_FROM_NOWHERE","['News from Nowhere']","Morris","William","Q7019506",11,"3261",1890,"(['social science fiction', 'futuristic novel', 'political novel', 'utopian novel', 'time-travel fiction'], ['novel'])","Gutenberg-US"
"88","NIGHTMARE_ABBEY_Q4054406",0.0616594855735503,0.168381976208531,"ENG","NIGHTMARE_ABBEY","['Nightmare Abbey']","Peacock","Thomas Love","Q4054406",7,"9909",1818,"(['Gothic novel'], [])","Gutenberg-US"
"89","NO_NAME_(NOVEL)_Q7044605",0.46129393099787,0.0923896925118484,"ENG","NO_NAME_(NOVEL)","['No Name']","Collins","Wilkie","Q7044605",7,"1438",1862,"(['mystery fiction', 'sensation fiction'], [])","Gutenberg-US"
"90","NORTH_AND_SOUTH_(GASKELL_NOVEL)_Q1853142",0.260923318302859,0.0843811817061611,"ENG","NORTH_AND_SOUTH_(GASKELL_NOVEL)","['North and South']","Gaskell","Elizabeth","Q1853142",19,"4276",1854,"([], ['novel'])","Gutenberg-US"
"91","NORTHANGER_ABBEY_Q477508",0.343042979973045,0.0897081476303317,"ENG","NORTHANGER_ABBEY","['Northanger Abbey', 'In Northanger Abbey']","Austen","Jane","Q477508",28,"121",1818,"(['romantic fiction'], ['novel'])","Gutenberg-US"
"92","NOSTROMO_Q430248",0.573104135313384,0.117708000947867,"ENG","NOSTROMO","['Nostromo']","Conrad","Joseph","Q430248",18,"2021",1904,"(['historical fiction'], ['novel'])","Gutenberg-US"
"93","OLD_MORTALITY_Q3234969",0.450141038132134,0.132281032559242,"ENG","OLD_MORTALITY","['Old Mortality']","Scott","Walter","Q3234969",17,"6941",1816,"(['historical novel'], [])","Gutenberg-US"
"94","OLIVER_TWIST_Q164974",0.910357373663103,0.11648744042654,"ENG","OLIVER_TWIST","['Oliver Twist', 'To Oliver Twist', 'From Oliver Twist']","Dickens","Charles","Q164974",73,"730",1838,"([], ['novel'])","Gutenberg-US"
"95","ORIGINAL_STORIES_FROM_REAL_LIFE_Q2705647",0.160221548263055,0.207050839763033,"ENG","ORIGINAL_STORIES_FROM_REAL_LIFE","['Original Stories from Real Life', 'Original Stories']","Wollstonecraft","Mary","Q2705647",10,"64275",1791,"([""children's literature""], [])","Gutenberg-US"
"96","OROONOKO_Q2453934",0.818855815935781,0.0941156687203792,"ENG","OROONOKO","['Oroonoko: or, the Royal Slave', 'Oroonoko', 'Oroonoko, or, The Royal Slave', 'Oroonoko, or The Royal Slave', 'Oroonoko, or the History of the Royal Slave', 'Oroonoko, or the Royal Slave', 'Oroonoko: Or, The Royal Slave']","Behn","Aphra","Q2453934",55,"29854",1688,"(['literature'], ['novel', 'novella'])","Gutenberg-US"
"97","OUR_MUTUAL_FRIEND_Q1557935",0.594948283367066,0.111826611753555,"ENG","OUR_MUTUAL_FRIEND","['Our Mutual Friend', 'Silas Wegg', 'Our Mutual Friend41']","Dickens","Charles","Q1557935",30,"883",1864,"([], ['novel'])","Gutenberg-US"
"98","OUR_VILLAGE_Q7111226",0.0792421570318606,0.135424465971564,"ENG","OUR_VILLAGE","['Our Village']","Mitford","Mary Russell","Q7111226",13,"2496",1824,"collection of stories","Gutenberg-US"
"99","PENDENNIS_Q7162382",0.137472234822425,0.116230271327014,"ENG","PENDENNIS","['Pendennis', 'The History of Pendennis']","Thackeray","William Makepeace","Q7162382",6,"9904",1850,"(['novel'], ['novel'])","Gutenberg-US"
"100","PERSUASION_(NOVEL)_Q333179",0.417024677521532,0.11037766985782,"ENG","PERSUASION_(NOVEL)","['Persuasion']","Austen","Jane","Q333179",14,"105",1817,"(['romantic fiction'], ['novel'])","Gutenberg-US"
"101","PETER_AND_WENDY_Q3435337",0.374053924716987,0.227254047819905,"ENG","PETER_AND_WENDY","['Peter Pan']","Barrie","J. M. ","Q3435337",10,"16",1911,"(['fantasy'], ['novel'])","Gutenberg-US"
"102","PHANTASTES_Q1616808",0.137472234822425,0.150708540995261,"ENG","PHANTASTES","['Phantastes']","MacDonald","George","Q1616808",6,"325",1858,"(['fantasy'], ['novel'])","Gutenberg-US"
