wikiname;variations;author;author_firstname;wikiID;freq;repoID;pub_year;genre;text_source;normalised_title;best_match_student_eds;student_edition;score_student_eds;author_complete;best_match_works;works;score_works
ARMADALE;['Armadale'];Collins;Wilkie;Q4792516;12;1895;1864;novel;Gutenberg-US;armadale;armadale;1;100;wilkie collins;wilkie collins;1;100
ARTHUR_MERVYN;['Arthur Mervyn'];Brown;Arthur Mervyn;Q4799713;1;18508;1799;(['Gothic novel'], []);Gutenberg-US;arthur mervyn;the narrative of arthur gordon pym of nantucket and related tales;0;85.5;arthur mervyn brown;jeff brown;0;85.5
AT_THE_BACK_OF_THE_NORTH_WIND;['At the Back of the North Wind'];MacDonald;George;Q1619593;6;225;1871;"(['fantasy', ""children's fiction""], ['novel'])";Gutenberg-US;at the back of the north wind;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;george macdonald;george macdonald;1;100
AT_THE_END_OF_THE_PASSAGE;['At the End of the Passage'];Kipling;Rudyard;noWikiID;2;https://en.wikisource.org/wiki/Life%27s_Handicap/At_the_End_of_the_Passage;1890;;Wikisource;at the end of the passage;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;rudyard kipling;rudyard kipling;1;100
AULD_LICHT_IDYLLS;['Auld Licht Idylls'];Barrie;J. M. ;noWikiID;2;8590;1888;collection of stories;Gutenberg-US;auld licht idylls;night and day;0;57;j. m.  barrie;j. m barrie;1;91.66666667
AURORA_FLOYD;['Aurora Floyd'];Braddon;Mary Elizabeth;Q4822530;25;https://docsouth.unc.edu/imls/braddon/braddon.html;1863;([], ['novel']);https://docsouth.unc.edu;aurora floyd;aurora floyd;1;100;mary elizabeth braddon;mary k. stohr;0;85.5
AYESHA_(NOVEL);['Ayesha'];Haggard;H. Rider;Q2604590;7;5228;1905;(['adventure novel', 'lost world fiction', 'Gothic novel'], []);Gutenberg-US;ayesha (novel);she;0;60;h. rider haggard;h. rider haggard, (henry rider);1;90
BARCHESTER_TOWERS;['Barchester Towers'];Trollope;Anthony;Q4859885;3;2432;1857;([], ['novel']);Gutenberg-US;barchester towers;barchester towers: the chronicles of barsetshire;1;90;anthony trollope;anthony trollope;1;100
BASIL;['Basil'];Collins;Wilkie;noWikiID;2;4605;1852;novel;Gutenberg-US;basil;basil;1;100;wilkie collins;wilkie collins;1;100
BELINDA;['Belinda'];Edgeworth;Maria;noWikiID;11;9455;1801;novel;Gutenberg-US;belinda;belinda;1;100;maria edgeworth;maria edgeworth;1;100
BLACK_BEAUTY;['Black Beauty'];Sewell;Anna;Q880092;9;271;1877;(['young adult literature'], ['novel']);Gutenberg-US;black beauty;black beauty;1;100;anna sewell;anna sewell;1;100
BLEAK_HOUSE;['Bleak House'];Dickens;Charles;Q883305;91;1023;1852;([], ['novel']);Gutenberg-US;bleak house;bleak house;1;100;charles dickens;charles dickens;1;100
BLIND_LOVE;['Blind Love'];Collins;Wilkie;noWikiID;1;7890;1889;novel;Gutenberg-US;blind love;about love and other stories;0;85.5;wilkie collins;wilkie collins;1;100
BORN_IN_EXILE;['Born in Exile'];Gissing;George;Q4945890;1;4526;1890;novel;Gutenberg-US;born in exile;the first men in the moon;0;85.5;george gissing;george gissing;1;100
BROKEN_TO_HARNESS;['Broken to Harness'];Yates;Edmund;noWikiID;2;59207;1864;prose ficiton;Gutenberg-US;broken to harness;the apple cart, too true to be good, on the rocks, and millionairess;0;85.5;edmund yates;edmund slocum crelin;0;85.5
CALEB_WILLIAMS;['Caleb Williams'];Godwin;William;Q7784409;32;11323;1794;novel;Gutenberg-US;caleb williams;caleb williams;1;100;william godwin;william godwin;1;100
CALLISTA_(NOVEL);['Callista'];Newman;John Henry;Q2934238;1;30664;1855;(['short story'], ['novel']);Gutenberg-US;callista (novel);tarr;0;57;john henry newman;john henry newman;1;100
CAMILLA;"['Camilla', 'Camilla, or, a Picture of Youth', 'Camilla, or a Picture of Youth', 'Camilla; or, A Picture of Youth']";Burney;Fanny;Q2934813;26;40619;1796;([], ['novel']);Gutenberg-US;camilla;camilla: picture of youth;1;90;fanny burney;fanny burney;1;100
CAPTAIN_SINGLETON;['Captain Singleton', 'When Captain Singleton', 'As for Captain Singleton'];Defoe;Daniel;Q1728631;3;6422;1720;(['picaresque novel', 'pirate fiction'], ['novel']);Gutenberg-US;captain singleton;journals: captain scott's last expedition;0;85.5;daniel defoe;daniel defoe, ?;1;88.88888889
CAPTAINS_COURAGEOUS;['Captains Courageous'];Kipling;Charles;Q1035138;1;2186;1897;(['novel'], ['novel']);Gutenberg-US;captains courageous;journals: captain scott's last expedition;0;56.84210526;charles kipling;charles king;0;88.88888889
CARMILLA;['Carmilla'];Sheridan Le Fanu;Joseph;Q1043792;6;10007;1872;(['fantasy', 'lesbian literature', 'vampire fiction', 'Gothic fiction'], ['novella', 'novel']);Gutenberg-US;carmilla;camilla: picture of youth;0;84;joseph sheridan le fanu;joseph sheridan le fanu;1;100
CARNIVAL;['Carnival'];Mackenzie;Compton;noWikiID;1;33012;1912;novel;Gutenberg-US;carnival;anna karenina;0;60;compton mackenzie;faith compton mackenzie;1;95
CARROTS;['Carrots'];Molesworth;Mary;noWikiID;1;33544;1876;children's book;Gutenberg-US;carrots;tarr;0;67.5;mary molesworth;mary richards, (mary elizabeth);0;85.5
CASTLE_RACKRENT;['Castle Rackrent', 'In Castle Rackrent'];Edgeworth;Maria;Q5050238;63;1424;1800;(['political novel', 'historical fiction'], ['novel']);Gutenberg-US;castle rackrent;castle rackrent;1;100;maria edgeworth;maria edgeworth;1;100
CASTLE_RICHMOND;['Castle Richmond'];Trollope;Anthony;Q5050241;2;5897;1860;([], ['novel']);Gutenberg-US;castle richmond;the castle of otranto: a gothic story;0;85.5;anthony trollope;anthony trollope;1;100
CATHERINE,_A_STORY;['Catherine, A Story'];Thackeray;William Makepeace;noWikiID;1;1969;1839;novel;Gutenberg-US;catherine, a story;a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;william makepeace thackeray;william makepeace thackeray;1;100
CATRIONA;['Catriona'];Stevenson;Robert Louis;noWikiID;1;589;1893;novel;Gutenberg-US;catriona;sentimental education;0;77.14285714;robert louis stevenson;robert louis stevenson;1;100
CECILIA;['Cecilia'];Burney;Frances;Q3233990;8;"6346; 7146; 7152";1782;(['novel'], ['novel']);Gutenberg-US;cecilia;cecilia: or memoirs of an heiress;1;90;frances burney;frances rooney;0;85.71428571
CELESTINA;['Celestina'];Smith;Charlotte;Q583705;1;ECCO;1791;(['drama', 'comedy'], ['play', 'novel']);ECCO;celestina;exiles;0;65.45454545;charlotte smith;charlotte smith;1;100
CELIBATES;['Celibates'];Moore;George;noWikiID;2;6005;1895;novel;Gutenberg-US;celibates;a tale of two cities;0;60;george moore;george moore;1;100
CHANCE;['Chance'];Conrad;Joseph;Q793748;2;1476;1912;(['novel'], ['novel']);Gutenberg-US;chance;chance;1;100;joseph conrad;joseph conrad;1;100
CHARLOTTE_TEMPLE;['Charlotte Temple'];Rowson;Susanna Hswell;noWikiID;1;171;1791;novel;Gutenberg-US;charlotte temple;the life of charlotte bront?;0;85.5;susanna hswell rowson;susanna isern;0;85.5
CHILDREN_OF_THE_GHETTO;['Children of the Ghetto'];Zangwill;Israel;noWikiID;3;12680;1892;novel;Gutenberg-US;children of the ghetto;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;israel zangwill;ae;0;90
CHRONICLES_OF_THE_CANONGATE;"['Chronicles of the Canongate', ""The Surgeon's Daughter""]";Scott;Walter;Q17352486;7;1828;1827;collection of stories;Gutenberg-US;chronicles of the canongate;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;walter scott;walter scott;1;100
CITY_SCENES;['City Scenes'];Taylor/Taylor;Anne/Jane;noWikiID;1;38612;1806;children's book;Gutenberg-US;city scenes;scenes of clerical life;0;85.5;anne/jane taylor/taylor;jane taylor;0;90
CLARISSA;['Clarissa', 'Clarissa Harlowe', 'In Clarissa', 'Clarissa, or The History of a Young Lady', 'Clarissa, or the History of a Young Lady'];Richardson;Samuel;Q980534;121;https://standardebooks.org/ebooks/samuel-richardson/clarissa/download?format=epub;1748;(['epistolary novel'], ['novel']);https://standardebooks.org/ebooks;clarissa;the theory of the leisure class;0;69.23076923;samuel richardson;samuel richardson;1;100
CLEG_KELLY;['Cleg Kelly'];Crockett;S. R. ;noWikiID;1;48354;1896;novel;Gutenberg-US;cleg kelly;the belly of paris;0;56.84210526;s. r.  crockett;s. m macgill, (sally m.);0;85.5
COCK_AND_ANCHOR;['Cock and Anchor'];Sheridan Le Fanu;Joseph;noWikiID;1;40126;1845;novel;Gutenberg-US;cock and anchor;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;joseph sheridan le fanu;joseph sheridan le fanu;1;100
COELEBS_IN_SEARCH_OF_A_WIFE;['Coelebs in Search of a Wife', 'Coelebs'];Moore;Hannah;Q5140605;10;31879;1814;([], ['novel']);Gutenberg-US;coelebs in search of a wife;a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;hannah moore;hannah more;0;95.65217391
COMETH_UP_AS_A_FLOWER;['Cometh Up as a Flower'];Broughton;Rhoda;Q19571321;3;https://webapp1.dlib.indiana.edu/vwwp/view?docId=VAB7038&doc.view=print;1867;([], ['novel']);https://webapp1.dlib.indiana.edu;cometh up as a flower;a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;rhoda broughton;b b;0;85.5
CONFESSIONS_OF_A_THUG_(NOVEL);['Confessions of a Thug', 'The Confessions of a Thug'];Taylor;Meadows ;Q5160036;5;44881;1839;([], ['novel']);Gutenberg-US;confessions of a thug (novel);a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;meadows  taylor;hal taylor;0;85.5
CONFESSIONS_OF_A_YOUNG_MAN;['Confessions of a Young Man'];Moore;George;Q5160039;6;11654;1888;memoir;Gutenberg-US;confessions of a young man;man and superman, john bull's other island, and major barbara;0;85.5;george moore;george moore;1;100
CONFESSIONS_OF_AN_ENGLISH_OPIUM-EATER;['Confessions of an English Opium-Eater', 'Confessions of an English Opium Eater', 'Confessions of an English Opium Eater', 'Confessions'];De Quincey;Thomas;Q1610128;8;2040;1821;(['autobiography'], []);Gutenberg-US;confessions of an english opium-eater;confessions of an english opium-eater and other writings;1;90;thomas de quincey;thomas de quincey;1;100
CONINGSBY;['Coningsby, or the New Generation', 'Coningsby'];Disreali;Benjamin;Q5161083;3;7412;1843;([], ['novel']);Gutenberg-US;coningsby;the bostonians;0;60;benjamin disreali;benjamin disraeli;1;94.11764706
CORAL_ISLAND;['Coral Island'];Ballantyne;R. M. ;Q4232653;5;7124;1858;(['adventure fiction', 'robinsonade'], ['novel']);Gutenberg-US;coral island;the island of doctor moreau;0;85.5;r. m.  ballantyne;w. r. owens;0;85.5
COUNT_ROBERT_OF_PARIS;['Count Robert of Paris'];Scott;Walter;noWikiID;2;6661;1832;(['historical novel'], []);Gutenberg-US;count robert of paris;a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;walter scott;walter scott;1;100
COUSIN_PHILLIS;"['Cousin Phillis""']";Gaskell;Elizabeth;noWikiID;1;4268;1864;novel;Gutenberg-US;cousin phillis;cousin phillis and other stories;1;90;elizabeth gaskell;elizabeth norton, (historian);0;85.5
CRANFORD_(NOVEL);['Cranford'];Gaskell;Elizabeth;Q265100;15;394;1851;([], ['novel']);Gutenberg-US;cranford (novel);cranford;1;90;elizabeth gaskell;elizabeth norton, (historian);0;85.5
CROTCHET_CASTLE;['Crotchet Castle'];Peacock;Thomas Love;Q5188976;1;2075;1831;([], ['novel']);Gutenberg-US;crotchet castle;the castle of otranto: a gothic story;0;85.5;thomas love peacock;thomas lang;0;85.5
DANIEL_DERONDA;['Daniel Deronda'];Eliot;George;Q552238;40;7469;1876;(['Bildungsroman'], ['novel']);Gutenberg-US;daniel deronda;daniel deronda;1;100;george eliot;george eliot;1;100
DAUGHTERS_OF_MEN;['Daughters of Men'];Lynch;Hannah;noWikiID;1;65098;1892;novel;Gutenberg-US;daughters of men;a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;hannah lynch;denis tilden lynch;0;85.5
