title;Athenaeum
An Account of the Infancy, Religious and Literary Life of Adam Clarke. Volume II 289 (May 11,1833);1
An Account of the Infancy, Religious and Literary Life of Adam Clarke. Volume III 306 (September 7,1833);1
Account of the Ionic Trophy Monument excavated at Xanthus 1103 (December 16,1848);1
An Account of the Isle of Man 1664 (September 17,1859);1
An Account of the Kingdom of Caubul 584 (January 5,1839);1
An Account of the Life and Letters of Cicero 1381 (April 15,1854);1
Account of the Life and Works of Leopold Robert 590 (February 16,1839);1
An Account of the Life, Lectures and Writings of William Cullen, M. D. 1668 (October 15,1859);1
An Account of the Life, Opinions, and Writings of John Milton 1453 (September 1,1855);1
An Account of the Measurement of the Lough Foyle Base in Ireland 1061 (February 26,1848);1
An Account of the Musical Celebrations on St. Cecilia's Day, in the Sixteenth, Seventeenth, and Eighteenth Centuries 1537 (April 11,1857);1
An Account of the Mutinies in Oudh, and the Siege of the Lucknow Residency 1607 (August 14,1858);1
An Account of the Parish of Sandford in the Deanery of Woodstock 2048 (January 26,1867);1
An Account of the Persecution of the Jews at Damascus 669 (August 22,1840);1
An Account of the present State of the Island of Puerto Rico 363 (October 11,1834);1
An Account of the Printed Text of the Greek New Testament 1412 (November 18,1854);1
An Account of the Proceedings connected with the Fox Hunting in the County of Kilkenny 2234 (August 20,1870);1
An Account of the Progress of the Expedition to Central Africa 1383 (April 29,1854);1
Account of the Public Prison of Valencia 1301 (October 2,1852);1
An Account of the Reformatory Institution for Juvenile Criminals at Mettrai, in France, from the Pamphlet of M. A. Coc hin 1343 (July 23,1853);1
An Account of the Religious Houses formerly situated on the Eastern Side of the River Witham 974 (June 27,1846);1
An Account of the Roman Antiquities found at Rougham 840 (December 2,1843);1
An Account of the Settlement of New Plymouth 1155 (December 15,1849);1
Account of the Settlements of the New Zealand Company 731 (October 30,1841);1
Account of the Skerryvore Lighthouse 1121 (April 21,1849);1
Accounts and Papers relating to Mary Queen of Scots 2076 (August 10,1867);1
The Accounts of the Churchwardens of the Parish of St. Michael, Cornhill, in the City of London, from 1456 to 1608 2295 (O ctober 21,1871);1
The Accursed One 1891 (January 23,1864);1
Accusation, Verdict and Process in Connexion with the English Trial by Jury 2046 (January 12,1867);1
Acheen and the Coasts of Sumatra 661 (June 27,1840);1
The Achievements of the Knights of Malta 173 (February 19,1831);1
Achilles 1423 (February 3,1855);1
The Achromatic Telescope 1314 (January 1,1853);1
Acquitted 2224 (June 11,1870);1
The Acropolis 1466 (December 1,1855);1
Across America and Asia 2205 (January 29,1870);1
Across Mexico in 1864 - 5 2011 (May 12,1866);1
Across the Atlantic 1209 (December 28,1850);1
Across the Carpathians 1803 (May 17,1862);1
Across the Channel 1565 (October 24,1857);1
Across the Continent 2035 (October 27,1866);1
Acrostics from across the Atlantic 2177 (July 17,1869);1
Acrostics, in Prose and Verse. Second series 2002 (March 10,1866);1
Acrostics in Prose and Verse 1952 (March 25,1865);1
An Act for the Amendment and better Administration of the Laws relating to the Poor, in England and Wales 368 (November 15,1834);1
The Act for the Better Management of the Metropolis 1463 (November 10,1855);1
An Act for the Regulation of the Care and Treatment of Lunatics, with Explanatory Notes and Comments 955 (February 14,1846);1
The Act of Supremacy 1026 (June 26,1847);1
The Act of the High Commission Court within the Diocese of Durham 1604 (July 24,1858);1
Acta Cancellariae 1038 (September 18,1847);1
Actinologia Britannica. A History of the British Sea-Anemones and Corals 1695 (April 21,1860);1
The Acts 28 Vict. Cap. 3 and Cap. 6, concerning Inventions and Designs exhibited at the Dublin International Exhib ition, 1865 1963 (June 10,1865);1
Acts and Gestes of Garin de Loherain 1845 (March 7,1863);1
Acts of Archbishop Colton on his Metropolitan Visitation of the Diocese of Derry 1210 (January 4,1851);1
Acts of the Cortes 679 (October 31,1840);1
The Acts of the Deacons 2033 (October 13,1866);1
An actually practised and effectually successful Mode of Treatment of the Cholera 217 (December 24,1831);1
Acupressure 1950 (March 11,1865);1
Ada Fortescue 1846 (March 14,1863);1
Ada Gresham 1332 (May 7,1853);1
Ada Greville 1182 (June 22,1850);1
Ada Moore's Story 2063 (May 11,1867);1
Adam and the Adamite 1935 (November 26,1864);1
Adam Bede 1635 (February 26,1859);1
Adam Brown 794 (January 14,1843);1
"Adam Smith's ""Wealth of Nations"" 2212 (March 19,1870)";1
Adam the Gardener 326 (January 25,1834);1
Adam's Illustrated Descriptive Guide 1090 (September 16,1848);1
Adam's Pocket London Guide Book 1227 (May 3,1851);1
Adam's Roman Antiquities 330 (February 22,1834);1
Adams's Pocket Descriptive Guide to the Lake District of Lancashire, Westmoreland and Cumberland 1288 (July 3,1852);1
"The Adamus Exul of Grotius; or the Prototype of Paradise Lost 642 (February 15,1840)";1
Addison's Essays 143 (July 24,1830);1
"Additional Facts and Arguments against the ""Theory of the Tides"" 911 (April 12,1845)";1
Additional Speeches, Addresses, and Occasional Sermons 1468 (December 15,1855);1
Address and Charges of Edward Stanley 1219 (March 8,1851);1
Address at the Annual Meeting of the Royal Geographical Society, 25th May, 1857 1554 (August 8,1857);1
An Address delivered at the Opening of the Working Men's Institute, at Brighton 1118 (March 31,1849);1
Address delivered by Edwin Lankester, M.D., on Public Health, at the Social Science Congress at Sheffield, on the 9th of October, 1865 1987 (November 25,1865);1
An Address delivered in the Crystal Palace, November 8, 1855 1482 (March 22,1856);1
An Address to Parliament on the Duties of Great Britain to India in respect of the Education of the Native s and their official Employment 1342 (July 16,1853);1
Address to the Baronets' Committee, on the Subject of the Chartered Rights and Privileges of the Order. Two notices 655 (May 16,1840);1
Address to the Clergy of the Diocese of Dublin and Glandalagh, and Kildare 1358 (November 5,1858);1
Address to the Members of the Tyneside Naturalists' Field Club 1568 (November 14,1857);1
An Address to the Middle and Working Classes 945 (December 6,1845);1
An Address to the Middle Classes upon the Subject of Gymnastic Exercises 1084 (August 5,1848);1
An Address to the Royal Academy 835 (October 28,1843);1
Address to the Royal Astronomical Society 2006 (April 7,1866);1
An Address to the Younger Clergy and Laity on the Present State of Religion 1957 (April 29,1865);1
The Addresses and Messages of the Presidents of the United States 779 (October 1,1842);1
Addresses delivered at Manchester, Leeds, and Birmingham 1473 (January 19,1856);1
Addresses delivered on Different Public Occasions by his Royal Highness the Prince Albert 1552 (July 25,1857);1
The Addresses of the Hungarian Diet of 1861, to H. I. M. the Emperor of Austria 1831 (November 29,1862);1
"Addresses on Popular Literature; and on the Monument to Isaac Newton 1621 (November 20,1858)";1
Adela Cathcart 1906 (May 7,1864);1
Adele 1580 (February 6,1858);1
Adeline: a Poem, in Seven Cantos 2281 (July 15,1871);1
The Adirondack 1138 (August 18,1849);1
Admetus, and other Poems 2291 (September 23,1871);1
The Administration of India, from 1859 to 1868 2209 (February 26,1870);1
The Administration of the East India Company 1337 (June 11,1853);1
The Administration of the Holy Spirit in the Body of Christ 2143 (November 21,1868);1
The Administration on the Eve of the Rebellion 1993 (January 6,1866);1
Admiral Sir P. B. V. Broke, Bart., K.C.B., Etc: A Memoir 2006 (April 7,1866);1
Admiralty Administration 1738 (February 16,1861);1
Admiralty Court Cases on the Rule of the Road, as laid down by the Articles and Regulati ons now in force under Order in Council for preventing Collisions at Sea 2065 (May 25,1867);1
The Admission Register of Manchester School. Volume I 2033 (October 13,1866);1
Adolphe Renouard 1313 (December 25,1852);1
Adonijah 1501 (August 2,1856);1
The `Adonis', `Massacre of the Innocents', and a Selection of the Lyric Poems, of Marino 1214 (February 1,1851);1
Adoption versus Annexation: with Remarks on the Mysore Question 2042 (December 15,1866);1
Adrian L'Estrange 1864 (July 18,1863);1
Adrien 1457 (September 29,1855);1
Adrienne Hope 1992 (December 30,1865);1
"Adrift; from the Diary of Harper Atherton 1764 (August 17,1861)";1
Adrift 1710 (August 4,1860);1
Adulterations Detected 1531 (February 28,1857);1
The Advanced Atlas 2201 (January 1,1870);1
The Advanced Prose and Poetical Reader 1403 (September 16,1854);1
Advanced Text-Book of Geology 1538 (April 18,1857);1
Advanced Text-Book of Physical Geography 1923 (September 3,1864);1
Advanced Text-Book of Zoology 2295 (October 21,1871);1
The Advancement of Society in Knowledge and Religion 160 (November 20,1830);1
Adventure in New Zealand, from 1839 to 1844 918 (May 31,1845);1
Adventure of my Cousin Smooth 1466 (December 1,1855);1
Adventures among the Dyaks of Borneo 1966 (July 1,1865);1
Adventures and Observations on the West Coast of Africa 1707 (July 14,1860);1
Adventures and Recollections of Col. Landmann 1296 (August 28,1852);1
Adventures and Researches among the Andaman Islanders 1859 (June 13,1863);1
Adventures in Australia in 1852 and 1853 1355 (October 15,1853);1
Adventures in Mexico and the Rocky Mountains 1057 (January 29,1848);1
Adventures in the Far Interior of South Africa 2024 (August 11,1866);1
Adventures in the Ice 2157 (February 27,1869);1
Adventures in the Libyan Desert and the Oasis of Jupiter Ammon 1120 (April 14,1849);1
Adventures in the Wilds of the United States and British American Provinces 1575 (January 2,1858);1
The Adventures of a Beauty 1272 (March 13,1852);1
Adventures of a Guardsman 1051 (December 18,1847);1
The Adventures of a Lady in Tartary, Thibet, China, and Kashmir, through Portions of Territory never before vis ited by a European 1344 (July 30,1853);1
The Adventures of a Little French Boy 1864 (July 18,1863);1
Adventures of a Medical Student 1158 (January 5,1850);1
The Adventures of a Salmon in the River Dee 1326 (March 26,1853);1
The Adventures of a Soldier 730 (October 23,1841);1
Adventures of a Summer-Eve 1511 (October 11,1856);1
Adventures of a Young Naturalist 2253 (December 31,1870);1
Adventures of an Angler in Canada, Nova Scotia, and the United States 1050 (December 11,1847);1
The Adventures of an Arcot Rupee 2091 (November 23,1867);1
The Adventures of an Attorney in search of Practice 616 (August 17,1839);1
Adventures of an Officer 898 (January 11,1845);1
The Adventures of Antar 2194 (November 13,1869);1
Adventures of Baron Wenceslas Wratislaw of Mitrowitz 1819 (September 6,1862);1
The Adventures of Bric-a-Brac Hunter 2135 (September 26,1868);1
The Adventures of Caliph Haroun al Raschid 1468 (December 15,1855);1
The Adventures of Carlos and Antonio 996 (November 28,1846);1
The Adventures of Dr. Brady 2109 (March 28,1868);1
Adventures of Frank Ogilby 1436 (May 5,1855);1
The Adventures of Harry Richmond 2297 (November 4,1871);1
The Adventures of Kamrup. Two notices 364 (October 18,1834);1
The Adventures of Mr. Ambiguous Law 1730 (December 22,1860);1
Adventures of Mrs. Colonel Somerset in Caffraria during the War 1612 (September 18,1858);1
The Adventures of Philip on his Way through the World 1815 (August 9,1862);1
The Adventures of Seven Four-Footed Foresters Narrated by Themselves 1940 (December 31,1864);1
Adventures of Susan Hopley 692 (January 30,1841);1
Adventures of the Count Hugo Von Craenhove 1079 (July 1,1848);1
Adventures of the First Settlers on the Oregon or Columbia River 1129 (June 16,1849);1
Adventures on the Columbia River 210 (November 5,1831);1
Adventures on the Great Hunting Grounds of the World 2140 (October 31,1868);1
Adventures on the Western Coast of South America, and the Interior of California 1029 (July 17,1847);1
Adventures with my Alpen-Stock and Carpet-Bag 1938 (December 17,1864);1
Adversaria, Ana, and Table Talk 2184 (September 4,1869);1
Advertise. How? When? Where? 1847 (March 21,1863);1
Advice on the Care of the Health 1035 (August 28,1847);1
Advice to Authors 1720 (October 13,1860);1
Advice to Cadets. Second Edition. 782 (October 22,1842);1
Advice to Mothers on the Management of their Offspring 659 (June 13,1840);1
Advice to Officers in India 1511 (October 11,1856);1
Advice to Purchasers of Horses 322 (December 28,1833);1
Advice to the Public for the Prevention and Cure of the Asiatic Cholera 208 (October 22,1831);1
The Aeneid of Virgil. Books I, II. Translated by E. F. Taylor 2104 (February 22,1868);1
The Aeneid of Virgil. Translated by E. E. Middleton 2229 (July 16,1870);1
The Aeneid of Virgil. Translated by John Conington 2035 (October 27,1866);1
The Aeneid of Virgil. Translated by Rev. J. M. King 1038 (September 18,1847);1
The Aeneid of Virgil in English Blank Verse. Translated by John Miller 1876 (October 10,1863);1
Aera Astreae 915 (May 10,1845);1
Aerial Locomotion 2107 (March 14,1868);1
Aerial Navigation 1046 (November 13,1847);1
Aeschyli Agamemnon 1344 (July 30,1853);1
Aeschyli Eumenides 1362 (December 3,1853);1
Aeschylus. Translated by F. A. Paley 1933 (November 12,1864);1
Aeschylus 186 (May 21,1831);1
The Aesopean Fables of Babrius 1680 (January 7,1860);1
Aesop's Fables, in Words of One Syllable 2147 (December 19,1868);1
Aesop's Fables 2197 (December 4,1869);1
The Aesthetic and Miscellaneous Works of Frederick von Schlegel 1117 (March 24,1849);1
Aetna 2071 (July 6,1867);1
Affair of the Necklace: Unpublished Memoirs of the Comte de Lamotte-Valois 1693 (April 7,1860);1
Affairs of the East India Company - Report and Appendix. Printed by order of the House of Commons 354 (August 9,1834);1
Affection, its Flower and its Fruits 1096 (October 28,1848);1
Aforismi E Proverbii Maltesi 594 (March 16,1839);1
Afraja: a Norwegian and Lepland Tale 1417 (December 23,1854);1
Afram: a Poem 1897 (March 5,1864);1
Africa and the American Flag 1395 (July 22,1854);1
Africa Redeemed 1229 (May 17,1851);1
African Discovery 1383 (April 29,1854);1
African Hunting 1833 (December 13,1862);1
African Sketches 342 (May 17,1834);1
The African Slave Trade. Two notices 603 (May 18,1839);1
The African Wanderer 996 (November 28,1846);1
African Wanderings 1290 (July 17,1852);1
The Africans at Home 1753 (June 1,1861);1
After Baxtow's Death 2232 (August 6,1870);1
After Breakfast 1902 (April 9,1864);1
After Business Jottings: Poems 1953 (April 1,1865);1
After Dark 1479 (March 1,1856);1
The After-Glow: Songs and Sonnets for my Friends 2066 (June 1,1867);1
After Icebergs with a Painter 1769 (September 21,1861);1
After Long Years 1879 (October 31,1863);1
After Many Days 1709 (July 28,1860);1
"After the Storm; or, Jonathan and his Neighbours in 1865 - 6 2024 (August 11,1866)";1
After the War: a Southern Tour. May 1, 1865, to May 1, 1866 2072 (July 13,1867);1
After the Wedding 1507 (September 13,1856);1
Afternoon Lectures on History and Art, delivered at the Museum of Industry, Dublin, 1865 2020 (July 14,1866);1
Afternoon Lectures on Literature and Art. Delivered in the Theatre of the Museum of Industry, Dublin, in April and M ay, 1866 2073 (July 20,1867);1
The Afternoon Lectures on Literature and Art: delivered in the Theatre of the Royal Coll ege of Science, S. Stephen's Green, Dublin, in the years 1867 and 1868 2160 (March 20,1869);1
The Afternoon of Unmarried Life 1622 (November 27,1858);1
Against the Stream 2020 (July 14,1866);1
Against Time 2241 (October 8,1870);1
Against Wind and Tide 1676 (December 10,1859);1
The Agamemnon, Choephori, and Eumenides of Aeschylus 1974 (August 26,1865);1
The Agamemnon of Aeschylus. Edited by C. C. Felton 1058 (February 5,1848);1
The Agamemnon of Aeschylus. Translated by John Conington 1072 (May 13,1848);1
The Agamemnon of Aeschylus. Translated by John Fletcher Davies 2156 (February 20,1869);1
"The Agamemnon of Aeschylus and The Bacchanals of Euripides; translated by Henry Hart Milman 1997 (February 3,1866)";1
Agamemnon the King 1469 (December 22,1855);1
The Agamemnon 1306 (November 6,1852);1
Agapae, or the Sacred Love Pledge 178 (March 26,1831);1
"Agatha; or, Sketches of School Life 1991 (December 23,1865)";1
Agatha's Husband 1314 (January 1,1853);1
The Age and Christianity 1169 (March 23,1850);1
The Age and Life of Our Earth 2088 (November 2,1867);1
The Age of Chivalry 598 (April 13,1839);1
The Age of Great Cities 795 (January 21,1843);1
The Age of Lead, a Satire 660 (June 20,1840);1
The Age of Stucco: a Satire, in Three Cantos 2283 (July 29,1871);1
The Age of the Martyrs 2162 (April 3,1869);1
The Age 1605 (July 31,1858);1
The Agent of Broome Warren 2289 (September 9,1871);1
Les Ages de la Nature 145 (August 7,1830);1
Ages of Christendom, before the Reformation 1536 (April 4,1857);1
Aggesden Vicarage 1684 (February 4,1860);1
Agnes Grey. In an edition also containing Wuthering Heights 1209 (December 28,1850);1
Agnes Grey 1052 (December 25,1847);1
Agnes Lowther 1718 (September 29,1860);1
Agnes Maynard 1342 (July 16,1853);1
Agnes Milbourne 1519 (December 6,1856);1
Agnes Moreville 951 (January 17,1846);1
Agnes of Sorrento 1803 (May 17,1862);1
Agnes Tremorne 1744 (March 30,1861);1
Agnes Valmar. Three Volumes 1375 (March 4,1854);1
Agnes Wentworth 2186 (September 18,1869);1
Agnes 1984 (November 4,1865);1
The Agnews of Lochnaw 1923 (September 3,1864);1
Agnus Dei 2212 (March 19,1870);1
Agonistes 1501 (August 2,1856);1
Agony Point 1755 (June 15,1861);1
The Agricola and Germany of Tacitus 2134 (September 19,1868);1
The Agricultural and Industrial Journal of Ireland. Number 1. 1065 (March 25,1848);1
Agricultural Chemistry 1626 (December 25,1858);1
Agricultural Distress, its Causes and Remedy 1238 (July 19,1851);1
The Agricultural Labourer 2233 (August 13,1870);1
Agricultural Physiology 1329 (April 16,1853);1
Agricultural Science applied in Practice 1643 (April 23,1859);1
The Agricultural Value of the Sewage of London examined in reference to the Principal Schemes submitted to the Metropolitan Board of Works 1952 (March 25,1865);1
Agriculture and Commerce at Turin 930 (August 23,1845);1
"Agrippa Posthumus, a Tragedy; with other Poems 167 (January 8,1831)";1
Ahab, the Apostate 1364 (December 17,1853);1
Ahn's Course. Latin Grammar for Beginners 1898 (March 12,1864);1
An Aide-de-Camp's Recollections of Services in China &c. 1334 (May 21,1853);1
Aids to Faith 1788 (February 1,1862);1
Ailey Moore 1498 (July 12,1856);1
Ailieford 1357 (October 29,1853);1
Aimee 2302 (December 9,1871);1
Aims and Ends, and Oonagh Lynch 280 (March 9,1833);1
Aims and Ends 1839 (January 24,1863);1
Air and Water 1836 (January 3,1863);1
Air the Food as well as the Breath of Life 1175 (May 4,1850);1
"Al Sirajiyyah; or, the Mahommedan Law of Inheritance 2183 (August 28,1869)";1
"Aladdin; or the Wonderful Lamp 1577 (January 16,1858)";1
The Alain Family 1360 (November 19,1853);1
Alastor 1290 (July 17,1852);1
Alban: a Narrative Poem 1712 (August 18,1860);1
Albanian Researches 1377 (March 18,1854);1
Albany Stark's Revenge 2113 (April 25,1868);1
The Albatross 1132 (July 7,1849);1
Albert Durer 2195 (November 20,1869);1
The Albert N'Yanza, Great Basin of the Nile, and Explorations of the Nile Sources 2014 (June 2,1866);1
The Albigenses 1493 (June 7,1856);1
Alboin, and other Poems 2028 (September 8,1866);1
Album of a Hundred Hungarian Poets 1371 (February 4,1854);1
Album of the Fairest Flowers of German Poesy, for Britannia's Daughters 1983 (October 28,1865);1
The Alcestis of Euripides translated into English Verse 1135 (July 28,1849);1
Alciphron, a Poem 628 (November 9,1839);1
Alda Graham and her Brother Philip 2302 (December 9,1871);1
Alda 697 (March 6,1841);1
Alderman Ralph 1359 (November 12,1853);1
Aldershot, and all about it 1535 (March 28,1857);1
Aldershottana 1522 (December 27,1856);1
Aldersleigh 2140 (October 31,1868);1
Alec Forbes of Howglen 1964 (June 17,1865);1
Alec's Bride 2066 (June 1,1867);1
Alessandro Gavazzi: a Biography 1537 (April 11,1857);1
Aletes: a Poem, Etc 1961 (May 27,1865);1
Alexander Hamilton and his Contemporaries 1897 (March 5,1864);1
Alexander Puschkin's Poetical Works 1402 (September 9,1854);1
Alexander von Humboldt 2011 (May 12,1866);1
Alexander von Humboldt's Preface to Prince Waldermar's `Travels' 1429 (March 17,1855);1
The Alexandra: a Gift Book to the Alexandra Orphanage for Infants, Hornsey Rise 2219 (May 7,1870);1
Alexandra Feodorowna, Empress of Russia 2248 (November 26,1870);1
Alexandri Neckam De Naturis Rerum 1913 (June 25,1864);1
Alexandria and her Schools 1401 (September 2,1854);1
The Alexandrians. Second notice 148 (August 28,1830);1
The Alexandrians 147 (August 21,1830);1
Alfabeto Christiano, which teaches the True Way to acquire the Light of the Holy Spirit 1792 (March 1,1862);1
Alfieri and Goldoni: their Lives and Adventures 1524 (January 10,1857);1
Alfieri 1499 (July 19,1856);1
Alfio Balzani 1755 (June 15,1861);1
Alfred Hagart's Household 1996 (January 27,1866);1
Alfred Leslie 1468 (December 15,1855);1
Alfred Staunton 1637 (March 12,1859);1
Alfred the Great 2205 (January 29,1870);1
Alfred 926 (July 26,1845);1
Algebra made Easy 1028 (July 10,1847);1
Algebra made Easy 1836 (January 3,1863);1
The Algebra of Ratios 1124 (May 12,1849);1
Algebra 1595 (May 22,1858);1
Algebra 1751 (May 18,1861);1
The Algebraical and Numerical Theory of Errors of Observations and the Combination of Observations 1755 (June 15,1861);1
Algebraical Exercises, progressively arranged 1998 (February 10,1866);1
Algeria and Tunis, in 1845. Two notices 962 (April 4,1846);1
"Algeria; considered as a Winter Residence for the English 1617 (October 23,1858)";1
Algeria in 1845 977 (July 18,1846);1
Algeria 1376 (March 11,1854);1
Algernon Sidney's Letter to Thomas Wyse 813 (May 27,1843);1
Algiers in 1857 1589 (April 10,1858);1
Algiers the Warlike, and other Poems 986 (September 19,1846);1
Alice Ferrars 1962 (June 3,1865);1
Alice Graeme 2111 (April 11,1868);1
Alice Herbert, and Emily's Choice 2291 (September 23,1871);1
Alice Hythe 1922 (August 27,1864);1
Alice Learmont 1263 (January 10,1852);1
Alice Lisle 1704 (June 23,1860);1
Alice Littleton 1660 (August 20,1859);1
Alice Montrose 1319 (February 5,1853);1
Alice Nugent 1419 (January 6,1855);1
"Alice of Monmouth: an Idyl of the Great War; with other Poems 1897 (March 5,1864)";1
Alice Offley 1278 (April 24,1852);1
Alice Paulet 210 (November 5,1831);1
Alice Ray 963 (April 11,1846);1
Alice Rivers 1272 (March 13,1852);1
Alice Rushton, and other Poems 2128 (August 8,1868);1
Alice Seymour 906 (March 8,1845);1
Alice Wentworth 1368 (January 14,1854);1
Alice 724 (September 11,1841);1
Alice's Adventures in Wonderland 1990 (December 16,1865);1
Aline 1078 (June 24,1848);1
Alive or Dead? 1700 (May 26,1860);1
All About It 1578 (January 23,1858);1
All about It! 1621 (November 20,1858);1
All about Love and Jealousy 985 (September 12,1846);1
All about Margate and Herne Bay 1980 (October 7,1865);1
All About the Marsdens 1985 (November 11,1865);1
All but Lost 2154 (February 6,1869);1
All Classes 1029 (July 17,1847);1
All for Greed 2127 (August 1,1868);1
All for the Best 1750 (May 11,1861);1
All in the Dark 2018 (June 30,1866);1
All Right: an Old Maid's Tale 1711 (August 11,1860);1
All Round the Wrekin 1708 (July 21,1860);1
All Sorts 1554 (August 8,1857);1
Allan Breck 326 (January 25,1834);1
Alle Mie Prigioni di Silvio Pellico Addizioni. Two notices 312 (October 19,1833);1
Allee Neemroo 788 (December 3,1842);1
Allerton and Dreux 1264 (January 17,1852);1
Alliterative Poem on the Deposition of King Richard II. and Richard de Maydiston de Concordid inter Ric. II. et c ivitatem London 605 (June 1,1839);1
Alloa and its Environs 1791 (February 22,1862);1
All's Well that Ends Well 1821 (September 20,1862);1
Alma and Inkermann 1440 (June 2,1855);1
Alma Theresa 1538 (April 18,1857);1
Almae Matres 1627 (January 1,1859);1
An Almanac for 2,000 Years 1510 (October 4,1856);1
Almanac for Algeria, 1852 1262 (January 3,1852);1
Almanach auf das Jahr 1834 316 (November 16,1833);1
Almanach de Gotha pour l'Annee 1835 372 (December 13,1834);1
Almanach de Paris. General Annual of Courts, Diplomacy, Politics, History, and Statistics. Fifth Year 2144 (November 28,1868);1
An Almanack for 1870 2202 (January 8,1870);1
Almost a Heroine 1666 (October 1,1859);1
Almost Faultless 2210 (March 5,1870);1
Almost 1570 (November 28,1857);1
Alone 1412 (November 18,1854);1
Alpha and Omega 2028 (September 8,1866);1
The Alpha 1215 (February 8,1851);1
The Alphabet explained 663 (July 11,1840);1
An Alphabet of Monograms 1994 (January 13,1866);1
Alpine Byways 1753 (June 1,1861);1
Alpine Flowers for English Gardens 2228 (July 9,1870);1
The Alpine Journal. Number III, September 1863 1873 (September 19,1863);1
