ID;Year;Author Ed.;Author;Translator;Short Title;Title;Publisher;Format;Review Reference;Catalogue Numbers;Notes;Further Editions
1770_12;1770;ANON.;ANON.;;THE MAID OF QUALITY;THE MAID OF QUALITY: OR, THE HISTORY OF LADY LUCY LAYTON. IN TWO VOLUMES.;"London: .Pr·m te d i1::o r T . ve rn or' at his Circulating. Librar.y , No. . 86, in. BKis'h op, 's-SG ate- Street Wi•t h out; an d s° l d by J· Chater' at his Circulatmg Library, m mg s- treet, Cheapside, 1770.";"1 ii, 260p; II 310p. 12mo. Ss (CR), 6s (MR), Ss sewed or 6s bound (LC).";"CR 29: 47-9 (Jan 1770); MR 42: 487 (June 1770); AF I: 1724.";"PU Singer-Mend PR.3291.Al.Ml56.1770; ESTCn004075 (NA RPB-JH).";"Epistolary. Adv LC 27· 39 (9-11 Jan 1770). Fur;her ed~: Dublin, 1770 (Printed for S. Powell, P. & W. Wilson, H. Bradley, S. Watson, J. Hoey J·U n., J. w·111 ·1 ams, J. Porter and T · Walker ' 2 vols.) (BLC). Frenc.h t.r ans. Lo(n dres, 1770 (Histoire de lady Lucie Fenton) (HWS); German trans. Breslau and Le1pz1g, 1772 Das se1 t ene Kammermi.idchen) (Price).";
1770_13;1770;ANON.;ANON.;;THE MALE-COQUETTE;"THE MALE-COQUETTE; OR, THE HISTORY OF THE HON. EDWARD ASTELL. IN TWO VOLUMES.";London: Printed for Robinson and Roberts, No. 25, Pater-noster-Row, I 770.;"I 236p; II 226p. 12mo. Ss sewed (MR).";"CR 28: 450-2 (Dec 1769); MR 42: 72 (Jan 1770); AF I: 2749.";"BL 12614.d.19; EM 275: 3; ESTC t072172 (BI MRu; NA ICU).";"ESTC attributes to Jane Timbury, author of The Male Coquet (1788: 76), probably because of similarity of title, but this novel has a very different form and content to the Male Coquetwhich has Timbury's name on t.p. 2 pp. advs. end vol. 2. Epistolary. JR 1342. Post-dated; adv., 'Tuesday next will be published', LC 26: 559 (7-9 Dec 1769); adv. as published LC 26: 567 (9-12 Dec 1769).";London, 1788, ESTC n004439.
1770_14;1770;ANON.;ANON.;;THE MEMOIRS OF MISS ARABELLA BOLTON;"THE MEMOIRS OF MISS ARABELLA BOLTON. CONTAINING A GENUINE ACCOUNT OF HER SEDUCTION, AND THE BARBAROUS TREATMENT SHE AFTERWARDS RECEIVED FROM THE HONOURABLE C- L--, THE PRESENT SUPPOSED M--R FOR THE COUNTY OF MIDDLESEX. WITH VARIOUS OTHER MISFORTUNES AND EMBARRASSMENTS, INTO WHICH THIS UNHAPPY YOUNG WOMAN HAS BEEN CRUELLY INVOLVED THROUGH THE VICISSITUDES OF LIFE, AND THE VILLAINY OF HER SEDUCER. THE WHOLE TAKEN FROM THE ORIGINAL LETTERS OF THE SAID C-L-TO DR. KELLY, WHO ATTENDED HER IN THE GREATEST MISFORTUNES AND DISTRESSES UNDER WHICH SHE LABOURED; AND ALSO FROM SEVERAL ORIGINAL LETTERS FROM DOCTOR KELLY AND MISS BOLTON, AND FROM OTHER AUTHENTICATED PAPERS IN THE HANDS OF THE PUBLISHER.";London: Printed for I. Fell, No. 14, Pater-noster Row, 1770.;"I xxii, 213p; II xi, 228p. 12mo. Ss (CR), 2s 6d each vol. (MR).";"CR 30: 240 (Sept 1770) both vols.; MR 42: 251 (Mar 1770) vol. l; MR43: 65 (July 1770) vol. 2;AF I: 1808, 1809.";"NjP Ex3633.79.363; ESTC n021983 (NA CaOHM, CtY-BR, PU).";Vol. 2 t.p.: 'from the Hon. Colonel L-1'. Based on an Oxford scandal at the time ofLuttrell's Middlesex election. ESTC t069916 cites 2 copies of another version: one held at ViU with the same date and imprint but apparently without the variant vol. 2 title, and the other at BL even though this copy lacks vol. 2.;
1770_15;1770;ANON.;ANON.;;*THE MODERN COUPLE;"*THE MODERN COUPLE; OR, THE HISTORY OF MR. AND MRS. DAVERS. IN A SERIES OF LETTERS.";London: Printed for F. and J. Noble, in Holborn, and St. Martin's Court (LC), 1770 (SJC).;2 vols. 12mo. 5s sewed (CR, MR).;"CR 31: 76 (Jan 1771); MR 43: 500 (Dec 1770).";No copy located.;"Epistolary. Adv. SJC 27-29 Nov 1770 and PA 20 Dec 1770; adv. LC 29: 55 (12-15 Jan 1771). Adv. in The Way to Lose Him 1773: 21.";
1770_16;1770;ANON.;ANON.;;THE PORTRAIT OF LIFE;"THE PORTRAIT OF LIFE, OR THE VARIOUS EFFECTS OF VIRTUE AND VICE DELINEATED; AS THEY DAILY APPEAR ON THE GREAT THEATRE OF THE WORLD. IN A COLLECTION OF INTERESTING NOVELS. IN TWO VOLUMES.";London: Printed for John Bell, at his Circulating Library near Exeter-Exchange in the Strand and C. Etherington at York, 1770.;"I 224p; II 234p.12mo. 5s sewed (CR, MR).";"CR29: 149 (Feb 1770); MR42: 71 (Jan 1770); AF I: 2246.";"BL 12316.ccc.37; EM 770: 27; ESTCt095294 (NANcD, ViWc [vol. l only]).";"2 pp. advs. end vol. 2. Vol. 1 contains 19 novelettes, and vol. 2, 17. Adv., 'On Monday next will be published', LC 26: 69 (26-28 Dec 1769); adv. as published LC 27: 27 (6-9 Jan 1770).";
1770_17;1770;ANON.;ANON.;;*THE PREDICTION;"*THE PREDICTION; OR, THE HISTORY OF MISS LUCY MAXWELL. BY A LADY.";London: Chater and Verner (CR) Chater &c (MR).;3 vols. 12mo. 7s 6d (CR), 7s 6d sewed (MR).;"CR 30: 306-9 (Oct 1770); MR43: 326 (Oct 1770); AF I: 2270.";No copy located.;;
1770_18;1770;ANON.;ANON.;;THE SALLIES OF GENIUS;THE SALLIES OF GENIUS, AND WANDERINGS OF YOUTH: OR, THE ADVENTURES OF COURSILLAC AND DORIGNI. TAKEN CHIEFLY FROM THE FRENCH.;"London: Printed for T. Lowndes, in Fleet-Street; and T. Slack, in Newcastle. 1770.";vi, 18lp. 12mo.;;"MH-H *EC75.Al00.770s; EM 3509: 9; ESTC n021302.";Drop-head title 'The Wanderings of Youth'. Pp. [ 183)-[184] table of contents with chapter titles and page numbers.;
1770_19;1770;ANON.;ANON.;;THE STORY OF THE METHODIST-LADY;THE STORY OF THE METHODIST-LADY: OR THE INJUR'D HUSBAND'S REVENGE. A TRUE HISTORY.;London: Printed for John Doughty, near St. Paul's, n.d. [ESTC: 1770?].;Slp. 8vo.;;"BL 12611.cc.16; EM 237: 2; ESTC t055920 (NA CLU-S/C, ICU, IU). A TRUE NARRATIVE See SIMES, Thomas";;
1770_20;1770;ANON.;ANON.;;THE UNHAPPY WIFE;THE UNHAPPY WIFE, A SERIES OF LETTERS. BY A LADY. IN TWO VOLUMES.;London: Printed for F. Newbery, the corner of Ludgate Street, St Paul's Church yard, . andJ. Smith, No. 15. Paternoster-Row, 1770.;"I 165p; II 14lp. 12mo. 5s (CR), 5s sewed (MR, LC).";"CR 29: 474-5 (June 1770); MR 42: 250 (Mar 1770); AF I: 2828.";"BL 012612.e.10; EM 165: 5; ESTC t067637.";3 pp. advs. end vol. 2. Epistolary. Adv., 'On Thursday next will be published', LC 27: 123 (3-6 Feb 1770).;
1770_21;1770;ANON.;ANON.;;THE YOUNGER BROTHER;THE YOUNGER BROTHER, A TALE.;London: P n·n te d 1c or th e Author , and sold by F. Newbery, at the Corner of St. Paul's Church-Yard, 1770/72.;"I ( 1770) iv, 208p; II ( 1772) iii, 208p. 12mo. Ss sewed (MR, SJC).";"CR34: 77 (July 1772); MR46: 540 (May 1772); AF I: 3019.";"BL 12611.aa.23; EM 196: 6; ESTC t054995 (NA CtY-BR, CLU-S/C, PU &c.).";Imprint date to vol. 1 possibly erroneous. Revs. give no date. Extracts given in LC vol. XXXI pp. 413 and 433 (28-30 Apr and 5-7 May 1772). Adv., with quotation of the MR's praise, SJC 16-19 Jan 1773. . .;
1770_22;1770;[BANCROFT, Edward].;BANCROFT, Edward.;;THE HISTORY OF CHARLES WENTWORTH;THE HISTORY OF CHARLES WENTWORTH, ESQ. IN A SERIES OF LETTERS. INTERSPERSED WITH A VARIETY OF IMPORTANT REFLECTIONS, CALCULATED TO IMPROVE MORALITY, AND PROMOTE THE OECONOMY OF HUMAN LIFE.;London: Printed for T. Becket, in the Strand, 1770.;"I 263p; II 284p; III 220p. 12mo. 7s 6d (CR), 7s 6d bound (MR).";"CR 29: 358-64 (May 1770); MR 43: 67 (July 1770); AF I: 141.";"BL N.2051-2053; EM 4582: 6; ESTC t144798 (BI E; NA ICN).";l p. advs. end vol. 1. Epistolary.;Dublin, 1770 (Printed for W. Sleater, J. Potts, J. Williams, W. Colles, J. Porter, and T. Walker, 2 vols., 12mo), ESTC t193541. German trans. Nuremberg, 1776 ( Geschichte Karl Wentwort) (Price). Faes: FN.
1770_23;1770;[BRIDGES, Thomas).;BRIDGES, Thomas.;;THE ADVENTURES OF A BANK-NOTE;THE ADVENTURES OF A BANK-NOTE. IN TWO VOLUMES. / VOLUME THREE./ VOLUME FOUR.;London: Printed for T. Davies, in Russel-street, Covent-garden, 1770/71.;"I (1770) 210p; II (1770) 204p; III (1771) 204p; IV ( 1771) 204p. 12mo. Sssewed [for each pairofvols.] (MR), 5s sewed [vols. 1-2] (CR), Ss [vols. 3-4] (CR, LC).";"CR30: 395 (Nov 1770), MR 43: 152 (Aug 1770) vols. 1-2; CR 31: 475 (June 1771), MR 44: 333 (Apr 1771) vols. 3-4; AF I: 232,233.";"BL 12614.c.23; EM 230: 3; ESTC t071294 (BI C, 0 [vols. 1-2 only]; NA CLU-S/C, CSmH, CSt [vols. 1-2 only], CtY [vols. 3-4 only], ICN [vols. 1-2 only],MH-H, NjP [vols. 1-2 only], TxU [vols. 1-2 only] &c.).";"Extract (from vol. 3) published LC 30: 305 (26-28 Sept 1771). Vols. 3 and 4 adv., 'In the Press, and will be published in a few Days', LC 29: 211 (28 Feb 1771). Further edns: Dublin, 1771 (Printed for H. Saunders, D. Chamberlaine, J. Hoey, Jun., J. Williams,R. Moncrieff, T. Walker, andJ. Porter, 2 vols. in 1, 12mo),ESTCn004798; London, 1772, ESTC t073509. German trans. Frankfurt and Leipzig, 1771/72 (DieBegebenheiten einer Banko-Note) (EAG). Faes: FN.";
1770_24;1770;BROOKE, [Henry].;BROOKE, Henry.;;THE FOOL OF QUALITY;"THE FOOL OF QUALITY; OR, THE HISTORY OF HENRY EARL OF MORELAND. VOLUME V. BY MR BROOKE.";London: Printed for W. Johnston, 1770.;V 300p. 12mo. 3s (CR, MR).;"CR 30: 459-60 (Dec 1770) vols. 3-5; MR 42: 330 (Apr 1770) vol. 5 only; AF I: 266.";"BL 838.b.8; EM 7371: 2; ESTC tl47805 (BI AWu, BMp, D &c.; NA AzU, CaNfSM, CaOHM&c.).";"Final vol. of the novel. Vols. 1-2 published by Johnston in 1766, JR 993, AF I: 263; with vol. 3, 1768, JR 1202, AF I: 264; and vol. 4, 1769, JR 1300, AF I: 265. Vol. 5 exists in at least 2 variant impressions. Extracts published LC 27: 325 and 329 (3-5 and 5-7 Apr 1770). Further edns: Dublin, 1765-69, with 5th vol., 1770 (Printed for the Author by Dillon Chamberlaine), EM 2373: l, ESTC t059854; 15 further edns, variants & abridged edns in ESTC; WC has 15 entries between 1800 and 1850; NSTC lists edns in 1808/9, 1810, 1814/15 and 1818. German trans. Frankfurt am Main, 1776 (Dervornehme Thoroder Heinrichs Grafen von Moreland Geschichte) (EAG); French trans. Paris, 1789 (Le Pou de Qualite) (HWS). Faes: FN.";
1770_25;1770;CREBILLON, [Claude-Prosper Jolyot de].;CREBILLON, Claude-Prosper Jolyot de.;;THE NIGHT AND MOMENT;THE NIGHT AND MOMENT. A DIALOGUE. TRANSLATED FROM THE FRENCH, OF M. CREBILLON.;London: Printed for the Translator, and Sold by Richardson and Urquhart, under the Royal Exchange, 1770.;195p. 12mo. 2s (CR).;CR29: 396 (May 1770).;"C 7735.d.544; ESTC t182205.";Trans. ofLaNuitetlemoment(Londres [i.e. Paris], 1755).;
1770_26;1770;[DAWE, Anne).;DAWE, Anne.;;THE YOUNGER SISTER;THE YOUNGER SISTER.;London: Printed forT. Lowndes, at No.77, Fleet-Street, 1770.;"I [266]p; II 201p. 12mo. Ss sewed (CR, MR), Ss sewed or 6s bound (LC).";"CR30: 143-6 (Aug 1770); MR42: 487-8 (June 1770); AF I: 590.";"BL 12611.aa.4; EM 7823: 2; ESTC t031407. N_otes., Drop~head title: 'The Younger Sister: or The History of Miss Somerset'. Running Title: The History of Miss Somerset'. Epistolary. Last 2 pp. of vol. 1 misnumbered 183 and 184. 1 p. advs. end vol. 2. Anne Dawe received 20 gns. for the copyright to The Younger Sister, 21 July 1769, GM n.s. 94 (1824): 136. Adv., 'In a few Days will be published' and with title The Younger Sister; or, the History of Miss Somerset, LC 27: 184 (20-22 Feb 1770).";;Dublin, 1772 (Printed and Sold by R. Marchbank, 2 vols. in 1, 12mo ), ESTC t18 31 77. German trans. Leipzig, 1780 (Leiden der Miss Meliora Somerset) (EAG).
1770_27;1770;DE VERE, Marquis [pseud.].;DE VERE, Marquis pseud..;;THE LIFE AND ADVENTURES OF THE PRINCE OF SALERMO;"THE LIFE AND ADVENTURES OF THE PRINCE OF SALERMO: CONTAINING AN ACCOUNT OF HIS ADVENTURES AT VENICE, AND IN HUNGARY; HIS CAPTIVITY AT DAMAS, AND AMOUR WITH AN OTTOMAN PRINCESS, TOGETHER WITH HIS RETURN TO ITALY: WITH MANY ENTERTAINING DESCRIPTIONS OF THE LAWS, CUSTOMS, AND MANNERS OF THE SEVERAL COUNTRIES THROUGH WHICH HE TRAVELLED. BY THE MARQUIS DE VERE, A VENETIAN NOBLEMAN.";London: Printed for J. Roson, No. 54 St Martin's Le-Grand, 1770.;xxii, 187p. 12mo. 3s ( CR), 2s 6d sewed (MR).;"CR29: 148-9 (Feb 1770); MR42: 251 (Mar 1770).";"BL 01261 l.l.21; EM 98: 7; ESTC t067319 (BIO; NA CSmH, MH-H, PPL).";3 pp. advs. end vol.;
1770_28;1770;DU BOIS, Lady Dorothea.;DU BOIS, Lady Dorothea.;;THEODORA;THEODORA, A NOVEL. BY THE RIGHT HONOURABLE LADYDOROTHEA DU BOIS, IN TWO VOLUMES.;London: Printed for the Author, by C. Kiernan, in Fullwood's-Rents, Holborn, 1770.;"I iii, 250p; II 306p. 12mo. 6s (CR, MR).";"CR 29: 474 (June 1770); MR 43: 65-6 (July 1770); AF I: 692.";"BL 1417.b.26; EM 2771: 1; ESTC 1106576 (NA CtY-BR, CSmH). Notes.";;
1770_29;1770;[FLEMING, Francis].;FLEMING, Francis.;;THE LIFE AND EXTRAORDINARY ADVENTURES;THE LIFE AND EXTRAORDINARY ADVENTURES, THE PERILS AND CRITICAL ESCAPES OF TIMOTHY GINNADRAKE, THAT CHILD OF CHECQUERED [SIC] FORTUNE. IN THREE VOLUMES [vols. 1 AND 2]. THE THIRD VOLUME OF THE LIFE AND ADVENTURES OF TIMOTHY GINNADRAKE, CONTAINING A CONCISE ACCOUNT OF THE CITY OF BATH, FROM THE YEAR 1670, TO THE PRESENT TIME [vol. 3].;"Bath: Printed by R. Cruttwell, for the Author; And Sold by W. Frederick, H. Leake, W. Taylor, W. Bally, and A. Tennent, Booksellers, in Bath; and Mr. Dodsley, Pallmall, London. n.d. [MR: 1770). Vol. 3: Bath: Printed by R. Cruttwell, for the Author; And Sold by W. Frederick, L. Bull, W. Taylor, W. Bally, and A. Tennent, Booksellers, in Bath; and Mr. Dodsley, Pallmall, London, 1771.";"I [1770] xviii, 168p; II [1771] 204p; Ill (1771) xiv, 239p. 12mo. Vol. 1 3s 6d sewed (MR, LC), 3 vols. 9s (MR).";"CR34: 51-4 (July 1772), MR42: 488 (June 1770)vol. 1; CR47: 239 (Sept 1772) all 3 vols.";"but without ref. to earlier rev.; MR 47: 239 (Sept 1772) all 3 vols. but without ref. to earlier rev.; AF I: 912,913. BL 12654.f.46; EM 485: 4; ESTC t098989 (BI C, O; NA CaOHM, CtY, CLU-S/C).";"14 pp. subscriptions begin vol. l; 12 pp. subscriptions end vol. 3. Vol. 1 adv. LC 27: 140 (8-10 Feb 1770).";
1770_30;1770;"FRAMERY, [Nicolas-Etienne]; BROOKE, [Frances] .";"FRAMERY, Nicolas-Etienne; BROOKE, Frances ."; BROOKE, Frances ;MEMOIRS OF THE MARQUIS DE ST;MEMOIRS OF THE MARQUIS DE ST. FORLAIX. TRANSLATED FROM THE FRENCH OF MONS. FRAMERY. BY MRS. BROOKE.;London: Printed for J. Dodsley, in Pall-Mall, 1770.;"I xii, 19Ip; II 189p; III 259p; IV 215p. 12mo. Vols. 1-4 12s (CR) Vols. 1-2 5s (MR); vols. 3-4 5s sewed (MR).";"CR 30: 417-20 (Dec 1770), MR 43: 362-5 (Nov 1770) vols. 1-2; MR 44: 48-51 (Jan 1771) vols. 3-4; AF I: 259, 260.";"BL 1607/1753; EM 2222: 2; ESTC tl 18938 (BI C, 0, MRu; NA CaQQLa, CLU-S/C, InU-Li &c.). No_tes. Trans. ofMemoiresdeM. leMarquisdeS. Forlaix(Paris, 1770). Epistolary. KM 4884: vols. 1-2, printing completed by Bowyer 18 Sept 1770, and vols. 3-4 completed 28 Nov 1770; 750 copies. Adv., 'Next Week will be published, The third and fourth Volumes' SJC 24-27 Nov 1770 and PA30Novl770. ' F~rtber edn: Dublin, 1770-7_1 (Printed for J. Exshaw, H. Saunders, W. Sleater, D. Chamberlame, J. Potts [&2 others}, with vols. 3-4 variant, 4 vols., 12mo), ESTC n004095.";;
1770_31;1770;[GRIFFITH, Elizabeth and Richard].;GRIFFITH, Elizabeth and Richard.;;A SERIES OF GENUINE LETTERS;A SERIES OF GENUINE LETTERS, BETWEEN HENRY AND FRANCES. VOLUME V / VOLUME VI.;London: Printed for W. Johnston in Ludgate-street, 1770.;"V viii, 280p; VI 288p. 12mo. 6s (CR), Ss sewed (MR), 5s sewed or 6s boards (SJC).";"CR 30: 460-1 (Dec 1770) 'vols. 4 & 5' acc. to rev. title, but actuallyofvols. 5 &6;MR43: 490 (Dec 1770); AF I: 1151.";"C S.727.d.76.35- [vols. 1-2, 1767 edn., vols 3-4, 1772 edn.]; ESTC t154222 (NA MA) .";"1st 2 vols. published 1757, then 1760 and 1761 (as original 2 vols.), JR 412,573,651, 1013, 1102;AF I: 1149, 1150. Epistolary. This edn. extended the text by the equivalent of 3 vols. These vols., 5 & 6, also in a 12mo set with title cancels as Printed for W. Richardson and L. Urquhart, 1770, ESTC t111106. Also vols. 3 & 4, new edn., Printed for W. Johnston, 1772, 12mo, ESTC t154223; and 6-vol. new edn., Printed (by assignment from E. Johnston) for J. Bew, 1786, 12mo, ESTC tll 1101. Adv. SJC 24-27 Nov 1770. German trans. Leipzig and Berlin, 1790 (Briefe zwischen Heinrich undFranziska) (EAG).";
