"";"id";"date";"author";"gender";"title";"publication";"format";"cat";"notes";"further_eds"
"11";"1800A011";"1800.";"ANON ";"Unknown.";"THE PICTURE OF THE AGE A NOVEL IN TWO VOLUMES";"London:Printed for H. D. Symonds, Paternoster-Row, 1800. ";"2 vols (I xiii, 205p; II 181p). 8°.";"Corvey; CME 3-628-48439-1; EN2 1800: 12; ESTC n061593; OCLC 33014413.";"CR indicates a translation from the French, but no French original discovered. Printer's mark (in square brackets) after imprint date reads: 'T. Davison, Lombard-Street, Fleet-Street'";NA
"12";"1800A012";"1800.";"ANON ";"Unknown.";"THE SAILOR BOY A NOVEL IN TWO VOLUMES";"London:Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800. ";"2 vols (I 239p; II 242p). 12°.";"Corvey; CME 3-628-48591-6; EN2 1800: 13; EM 168: 3; ESTC t066390; OCLC 27401358.";NA;"Boston 1801 (OCLC) [also Exeter, NH, 1801 (OCLC)]."
"13";"1800A013";"1800.";"ANON ";"Female.";"A SHORT STORY INTERSPERSED WITH POETRY BY A YOUNG LADY IN TWO VOLUMES";"London:Printed and published by Geo. Cawthorn, British Library, No. 132, Strand, Bookseller to Her Royal Highness the Princess of Wales; sold also by Messrs. Richardson, Royal-Exchange; H. D. Symonds, J. Wallis, West and Hughes, Paternoster-Row; and J. Wright, Piccadilly, 1800. ";"2 vols (I vii, 201p; II 204p). 12°.";"Corvey; CME 3-628-48689-0; EM 170: 4; EN2 1800: 15; ESTC t066394; OCLC 48154945.";NA;NA
"14";"1800A014";"1800.";"ANON ";"Unknown.";"THE SPIRIT OF TURRETVILLE OR THE MYSTERIOUS RESEMBLANCE A ROMANCE OF THE TWELFTH CENTURY IN TWO VOLUMES";"London:Printed by J. D. Dewick, 20, Aldersgate Street; for R. Dutton, 10, Birchin Lane, Cornhill, 1800. ";"2 vols (I iv, 200p; II 223p). 12°.";"Corvey; CME 3-628-48800-1; EM 131: 4; EN2 1800: 16; ESTC t066395; OCLC 38964019.";"'Advertisement', regarding subject of novel, states: 'The Proprietor of an extensive circulating library informed him [the author], that he could not keep a ghost or a spirit at home' (p. [iii]).";"German trans., 1834?"
"15";"1800A015";"1800.";"ANON ";"Female.";"TALES OF TRUTH BY A LADY UNDER THE PATRONAGE OF THE DUCHESS OF YORK IN FOUR VOLUMES";"London:Printed by T. Plummer, Seething-Lane; for R. Dutton, No. 10, Birchin-Lane, Cornhill, 1800. ";"4 vols (I 153p; II 179p; III 170p; IV 168p). 8°.";"Corvey; CME 3-628-48874-5; EM 1279: 10; EN2 1800: 17; ESTC n013589; xOCLC.";"Dedication to the Duchess of York signed 'E. H.'. Main text preceded by 2 poems, 'Sonnet to Gratitude' and 'Lines Addressed to her R.H. the Duchess of York'.";NA
"16";"1800A016";"1800.";"Robert BISSET ";"Male.";"DOUGLAS OR THE HIGHLANDER A NOVEL IN FOUR VOLUMES BY ROBERT BISSET LLD AUTHOR OF THE LIFE OF BURKE C";"London:Printed at the Anti-Jacobin Press, by T. Crowder, Temple Lane, Whitefriars; and sold by C. Chapple, Pall Mall; T. Hurst, Paternoster Row; and J. and E. Kerby, Bond Street, 1800. ";"4 vols (I vi, xxviii, 323p; II v, 300p; III viii, 315p; IV xii, 382p). 12°.";"Corvey; EM 240: 1; EN2 1800: 18; ESTC t068561; OCLC 13276143.";"Dedication to 'the most noble George, Marquis of Huntley', dated Sloane Terrace, 1 Feb 1800.";"Dublin 1800 (NUC)."
"17";"1800A017";"1800.";"Louise Marguerite BRAYER DE SAINT-LÉON? ";"Female.";"THE MONK OF THE GROTTO OR EUGENIO  VIRGINIA A TALE IN TWO VOLUMES FROM THE FRENCH";"London:Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800. ";"2 vols (I xxx, 238p; II 249p). 12°.";"Corvey; CME 3-628-48265-8; ECB 391; EN2 1800: 60; xESTC; OCLC 6972779.";"Possibly a trans. of Brayer de Saint-Léon's Eugenio et Virginia (Paris, 1799<U+0096>1800). Summers states original by Pigault-Lebrun, but both Gecker and Blakey question his authorship. ECB treats as anonymous and dates Jan 1801.";"Cork 1802 (OCLC); Boston 1846 (OCLC)."
"18";"1800A018";"1800.";"Charles Brockden BROWN ";"Male.";"ORMOND OR THE SECRET WITNESS BY THE AUTHOR OF WIELAND ARTHUR MERVYN C C";"London:Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800. ";"1 vol.  (iv, 338p). 12°.";"Corvey; CME 3-628-47138-9; EN2 1800: 19; ESTC t131855; OCLC 8230783.";"Dedication to I. E. Rosenberg. Collates in sixes.  Originally published New York 1799 (Blanck).";"1811 (NSTC); 1822 (OCLC); 1839 (NSTC); German trans., 1802 (ascribed to William Godwin)."
"19";"1800A019";"1800.";"Mrs BURKE ";"Female.";"ELLIOTT OR VICISSITUDES OF EARLY LIFE IN TWO VOLUMES BY A LADY";"London:Printed and published by Geo. Cawthorn, British Library, No. 132, Strand, Bookseller to Her Royal Highness the Princess of Wales; sold also by Messrs. Richardson, Royal-Exchange; H. D. Symonds, J. Wallis West and Hughes, Paternoster-Row; and J. Wright, Piccadilly, 1800. ";"2 vols (I viii, 338p; II 295p). 12°.";"Corvey; CME 3-628-47524-4; EN2 1800: 20; ESTC t210673; OCLC 13611552.";"'A List of Subscribers' Names', vol. 1, pp. [i]<U+0096>viii.";NA
"20";"1800A020";"1800.";NA;"Male.";"ZIMAO THE AFRICAN TRANSLATED BY THE REV WEEDEN BUTLER MA OF SIDNEY SUSSEX COLLEGE CAMBRIDGE";"London:Printed for Vernor and Hood, in the Poultry; by S. Rousseau, Wood Street, Spa Fields, 1800. ";"1 vol.  (xi, 105p). 8°.";"BL 837.b.35(1); EN2 1800: 21; ESTC t075674; OCLC 6317807.";"ESTC states this appears not to be a translation. Small engraving on t.p. Preface addressed to 'Courteous Reader' and signed W. B., Cheynè Walk, Chelsea. Dedication 'to A Lady eminent for her private qualities and her public station', pp. [v]<U+0096>x; six-line verse quotation from Darwin, p. xi. Text ends on p. 71 and the rest is an appendix concerning slavery.";"Dublin 1800 (ESTC); 2nd edn 1807 (NSTC)."
"21";"1800A021";"1800.";"Mrs CARVER ";"Female.";"THE OLD WOMAN A NOVEL IN TWO VOLUMES BY THE AUTHOR OF THE HORRORS OF OAKENDALE ABBEY";"London:Printed for the Author, at the Minerva-Press, by William Lane, Leadenhall-Street, 1800. ";"2 vols (I 218p; II 255p). 12°.";"Corvey; CME 3-628-48255-0; EN2 1800: 22; ESTC t223030; xOCLC.";NA;NA
"22";"1800A022";"1800.";"Emily CLARK ";"Female.";"ERMINA MONTROSE OR THE COTTAGE OF THE VALE IN THREE VOLUMES WITH CHARACTERS FROM LIFE BY EMILY CLARK GRANDDAUGHTER OF THE LATE COLONEL FREDERICK AND AUTHOR OF IANTHE OR THE FLOWER OF CAERNARVON";"London:Printed for the Author, and sold by James Wallis, Paternoster-Row, 1800. ";"3 vols (I viii, 239p; II 272p; III 244p). 12°.";"Corvey; CME 3-628-47290-3; EM 131: 5; EN2 1800: 23; ESTC t070069; xOCLC.";"Dedication 'to the Right Honorable Countess of Shaftesbury', signed Emily Clark, No 4, Cockspur-street, Haymarket. 'List of Subscribers', vol. 1, pp. [iii]<U+0096>viii.";NA
"23";"1800A023";"1800.";"Sarah COBBE? ";"Female.";"JULIA ST HELEN OR THE HEIRESS OF ELLISBOROUGH A NOVEL IN TWO VOLUMES PUBLISHED BY SARAH COBBE RELICT OF THE REV RICHARD CHALONER COBBE RECTOR OF BRADENHAM IN BUCKINGHAMSHIRE AND CHAPLAIN TO THE RIGHT HONOURABLE THE EARL OF MOIRA";"London:Printed by J. Nichols, Earl's Court, Leicester-Square; sold by Earle and Hemet, No. 47, Albemarle-Street, Piccadilly, 1800. ";"2 vols (I xvii, 228p; II 240p). 12°.";"BL 12654.f.10; EN2 1800: 24; ESTC t107266; xOCLC.";"Dedication to 'the Right Honourable the Earl of Moira, Baron Rawdon, &c. &c. &c. &c.', dated 15 June 1800. Preface states 'that Julia St. Helen is not mine, but has been kindly obtained for me from the deceased author's relatives, through the interference of a friend, and upon the condition that I should publish it by subscription' (p. [vii]). 'List of Subscribers' , vol. 1, pp. [ix]<U+0096>xvii.";NA
"24";"1800A024";"1800.";"Helen CRAIK ";"Female.";"ADELAIDE DE NARBONNE WITH MEMOIRS OF CHARLOTTE DE CORDET A TALE IN FOUR VOLUMES BY THE AUTHOR OF HENRY OF NORTHUMBERLAND";"London:Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800. ";"4 vols (I 286p; II 267p; III 283p; IV 304p). 12°.";"BL 12612.dd.2; EM 273: 1; EN2 1800: 25; ESTC t066881; OCLC 44524455.";NA;NA
"25";"1800A025";"1800.";"Helen CRAIK ";"Female.";"HENRY OF NORTHUMBERLAND OR THE HERMITS CELL A TALE OF THE FIFTEENTH CENTURY IN THREE VOLUMES";"London:Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800. ";"3 vols (I xii, 233p, ill.; II 247p; III 249p). 12°.";"Corvey; CME 3-628-47777-8; EN2 1800: 26; ESTC t200843; OCLC 31498366.";NA;"Dublin 1800 (ESTC)."
"26";"1800A026";"1800.";"Mrs CROFFTS ";"Female.";"ANKERWICK CASTLE A NOVEL IN FOUR VOLUMES BY MRS CROFFTS";"London:Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800. ";"4 vols (I 286p; II 251p; III 259p; IV 249p). 12°.";"Corvey; CME 3-628-47352-7; EN2 1800: 27; ESTC n042635; OCLC 42783029.";NA;"German trans., 1801 [as Schloß Ankerwick. Ein Sittengemälde nach der Natur (RS)]."
"27";"1800A027";"1800.";"Edward DUBOIS ";"Male.";"ST GODWIN A TALE OF THE SIXTEENTH SEVENTEENTH AND EIGHTEENTH CENTURY BY COUNT REGINALD DE ST LEON";"London:Printed for J. Wright, Piccadilly, 1800. ";"1 vol.  (xxiii, 235p). 12°.";"BL 12613.d.8; EM 276: 4; EN2 1800: 28; ESTC t070070; OCLC 11776820.";"Dedication to Mrs Sheridan. Preface dated 26 Dec 1799. A satire of William Godwin's St. Leon (EN1 1799: 42).";"2nd edn (corrected) 1800 (OCLC); Dublin 1800 (ESTC)."
"28";"1800A028";"1800.";"William EARLE (jun.) ";"Male.";"OBI OR THE HISTORY OF THREEFINGERED JACK IN A SERIES OF LETTERS FROM A RESIDENT IN JAMAICA TO HIS FRIEND IN ENGLAND";"London:Printed for Earle and Hemet, No. 47, Albemarle-Street, Piccadilly, 1800. ";"1 vol.  (vi, 232p). 12°.";"ViU PR.3431.E171800; EN2 1800: 29; ESTC t176735; OCLC 18867095.";"'Advertisement' signed 'W. E. J.'.";"Worcester, MA, 1804 (OCLC). Also numerous chapbook versions of this story (and songs from the pantomime version) with similar titles. For example, BL 1076.l.24(15), with the same lead title (Newcastle: printed by M. Angus & Son [1800?]), is 24pp."
"29";"1800A029";"1800.";"Maria EDGEWORTH ";"Female.";"CASTLE RACKRENT AN HIBERNIAN TALE TAKEN FROM FACTS AND FROM THE MANNERS OF THE IRISH SQUIRES BEFORE THE YEAR 1782";"London:Printed for J. Johnson, St. Paul's Church-Yard, 1800. ";"1 vol.  (xliv, 182p). 8°.";"BL 12611.f.4; ECB 178 (3rd edn); EM 58: 1; EN2 1800: 30; ESTC t057317; OCLC 17804611.";"Printer information, 'By J. Crowder, Warwick-Square', after imprint date. 'Advertisement to the English Reader', followed by 'Glossary', pp. [xv]<U+0096>xliv.";"1800 (ESTC); Dublin 1800 (ESTC); 2nd edn 1801 (OCLC); 2nd edn Dublin 1801 (NSTC); 3rd edn 1801 (Corvey), CME 3-628-47575-9; 3rd edn Dublin 1802 (NSTC); 4th edn 1804 (NSTC); 5th edn 1810 (NSTC); 5th edn Dublin 1810 (NSTC); [at least 3 more edns to 1850]; Boston 1814 (OCLC); German trans., 1802."
"30";"1800A030";"1800.";"Jane ELSON ";"Female.";"ROMANCE OF THE CASTLE IN TWO VOLUMES";"London:Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800. ";"2 vols (I ii, 236p, ill.; II 238p). 12°.";"Corvey; CME 3-628-48470-7; EN2 1800: 31; ESTC t200842; xOCLC.";NA;NA
"31";"1800A031";"1800.";"Mrs E. M. FOSTER ";"Female.";"EMILY OF LUCERNE A NOVEL IN TWO VOLUMES BY THE AUTHOR OF THE DUKE OF CLARENCE";"London:Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800. ";"2 vols (I 240p; II 304p). 12°.";"Corvey; CME 3-628-47563-5; EN2 1800: 32; ESTC n030766; xOCLC.";"Dedication in the 2nd vol. after t.p. 'to Her Royal Highness the Princess of Wales' signed 'E. M. F.'.";NA
"32";"1800A032";"1800.";"Mrs E. M. FOSTER ";"Female.";"FREDERIC  CAROLINE OR THE FITZMORRIS FAMILY A NOVEL IN TWO VOLUMES BY THE AUTHOR OF REBECCA JUDITH MIRIAM C";"London:Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800. ";"2 vols (I 256p; II 296p). 12°.";"BL 12613.aaa.11; CME 3-628-47838-3; EM 199: 2; EN2 1800: 33; ESTC t068576; xOCLC.";"Dedication 'to Her Royal Highness, the Princess of Wales', signed 'E. M. F'. The Dedication is not found in the Corvey copy of this title. Drop-head title and running-titles read 'Fitzmorris'.";NA
"33";"1800A033";"1800.";"Mrs E. M. FOSTER ";"Female.";"JUDITH A NOVEL IN TWO VOLUMES BY THE AUTHOR OF REBECCA MIRIAM FITZMORRIS C";"London:Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800. ";"2 vols (I 285p; II 251p). 12°.";"Corvey; CME 3-628-48010-8; EN2 1800: 34; ESTC t212789; xOCLC.";NA;"German trans., 1802."
"34";"1800A034";"1800.";"Mrs E. M. FOSTER ";"Female.";"MIRIAM A NOVEL IN TWO VOLUMES BY THE AUTHOR OF FREDERIC  CAROLINE REBECCA JUDITH C";"London:Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800. ";"2 vols (I 262p; II 271p). 12°.";"Corvey; CME 3-628-48168-6; EM 1000: 5; EN2 1800: 35; ESTC n004164; OCLC 42866477.";NA;"German trans., 1801."
"35";"1800A035";"1800.";"Stéphanie Félicité, Comtesse de GENLIS ";"Female.";"THE RIVAL MOTHERS OR CALUMNY TRANSLATED FROM THE FRENCH OF MADAME DE GENLIS IN FOUR VOLUMES";"London:Printed by A. Strahan, Printers-Street, for T. N. Longman and O. Rees, Paternoster-Row, 1800. ";"4 vols (I xix, 357p; II 382p; III 379p; IV 410). 12°.";"BL N.2724; EN2 1800: 36; ESTC t144616; OCLC 14201504.";"Trans. of Les Mères rivales, ou la calomnie (Paris, 1800).";"Dublin 1801 (NSTC)."
"36";"1800A036";"1800.";"Giuseppe A. GRAGLIA ";"Male.";"THE CASTLE OF ERIDAN OR THE ENTERTAINING AND SURPRISING HISTORY OF THE VALIANT DON ALVARES AND THE BEAUTIFUL EUGENIA DUCHESS OF SAVOY BY G A GRAGLIA";"London:Printed by H. Baldwin and Son, New Bridge-Street; and sold by T. Hurst, Paternoster-Row, Lackington and Co. Finsbury-Square; Boosey, No. 4, Broad-Street; Vernor and Hood, Poultry; J. Wright, Piccadilly; W. Miller, Old Bond-Street; and all the principal Booksellers in London, 1800. ";"1 vol.  (viii, 248p). 12°.";"Corvey; CME 3-628-47792-1; ECB 238; EM 7091: 6; EN2 1800: 37; ESTC t073519; OCLC 42206855.";"ESTC notes pp. iv and 178 misnumbered v and 78; this is matched by the Corvey copy.";NA
"37";"1800A037";"1800.";"Susannah GUNNING [née MINIFIE, Susannah] ";"Female.";"FASHIONABLE INVOLVEMENTS A NOVEL BY MRS GUNNING IN THREE VOLUMES";"London:Printed by T. Gillet, Salisbury-Square; and sold by T. N. Longman and O. Rees, Paternoster-Row, 1800. ";"3 vols (I 236p; II 237p; III 207p). 12°.";"University of Alberta PR3505.G85.F24.1800; EN2 1800: 38; ESTC n009730; OCLC 8527422.";NA;"Dublin 1800 (ESTC); 1800 (ESTC), EM 2265: 2; 3rd edn 1800 (Corvey), CME 3-628-47583-X."
"38";"1800A038";"1800.";"Elizabeth HAMILTON ";"Female.";"MEMOIRS OF MODERN PHILOSOPHERS IN THREE VOLUMES";"Bath:Printed by R. Cruttwell, for G. G. and J. Robinson, Pater-Noster-Row, London, 1800. ";"3 vols (I xvi, 335p; II 402p; III 366p). 8°.";"Corvey; CME 3-628-48063-9; ECB 252 (2nd edn); EM 130: 1; EN2 1800: 39; ESTC t064746; OCLC 5084139.";"A letter to 'Mr. Robinson, Bookseller, Pater-Noster-Row', signed by Geoffry Jarvis [pseud.], pp. [v]<U+0096>xvi.";"1800 (ESTC); Dublin 1800 (ESTC); 3rd edn London 1801 (NSTC); Dublin 1801 (OCLC); 4th edn London & Bath 1804 (NSTC); French trans., 1802 [as Bridgetina ou les philosophes modernes (NSTC)]."
"39";"1800A039";"1800.";"Mary Ann HANWAY ";"Female.";"ANDREW STUART OR THE NORTHERN WANDERER A NOVEL IN FOUR VOLUMES BY MARY ANN HANWAY AUTHOR OF ELLINOR OR THE WORLD AS IT IS";"London:Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800. ";"4 vols (I vi, 267p; II 314p; III 342p; IV 418p). 12°.";"Corvey; CME 3-628-47624-0; EM 193: 1; EN2 1800: 40; ESTC t093969; OCLC 6778820.";"Dedication to Major John Scot Waring signed Manchester-Street, Manchester-Square.";NA
"40";"1800A040";"1800.";"Catherine HARRIS ";"Female.";"EDWARDINA A NOVEL IN TWO VOLUMES DEDICATED TO MRS SOUTER JOHNSTON BY CATHERINE HARRIS";"London:Printed for the Author, at the Minerva-Press, by William Lane, Leadenhall-Street, 1800. ";"2 vols (I iv, 229p; II 263p). 12°.";"Corvey; CME 3-628-47629-1; EM 1005: 14; EN2 1800: 41; ESTC n003448; OCLC 13357328.";"'List of Subscribers' (4 pp. unn.) at beginning of vol. 1.";NA
"41";"1800A041";"1800.";"Elizabeth HERVEY ";"Female.";"THE MOURTRAY FAMILY A NOVEL IN FOUR VOLUMES";"London:Printed by Millar Ritchie, Middle Street, Cloth Fair, for R. Faulder, New Bond Street, 1800. ";"4 vols (I 299p; II 281p; III 276p; IV 276p). 12°.";"Corvey; CME 3-628-48388-3; EM 2504: 1; EN2 1800: 42; ESTC n005765; OCLC 6793209.";"ECB 266 lists Colburn edn, 1810.";"2nd edn 1810 (NSTC); 3rd edn 1814 (NSTC); French trans., 1802."
"42";"1800A042";"1800.";"William HOLLOWAY ";"Male.";"THE BARON OF LAUDERBROOKE A TALE BY W HOLLOWAY";"London:Printed by T. Maiden, Sherbourne-Lane, for Ann Lemoine, White-Rose Court, Coleman-Street, and sold by T. Hurst, Paternoster-Row, 1800. ";"1 vol.  (iv, 103p, ill.). 12°.";"IU 823.H.728B; EN2 1800: 43; ESTC t192785; OCLC 45589263.";"Frontispiece dated Aug 1800; engraved t.p. before printed t.p. Collates in sixes. BL 012611.de.1(1), with identical imprint, has 204pp. MH-H copy has 64 pp.";"1800 (ESTC), EM 175: 10; 1800 (ESTC)."
"43";"1800A043";"1800.";"Samuel William Henry IRELAND ";"Male.";"RIMUALDO OR THE CASTLE OF BADAJOS A ROMANCE BY W H IRELAND AUTHOR OF THE ABBESS C C IN FOUR VOLUMES";"London:Printed by A. Strahan, Printers-Street, for T. N. Longman and O. Rees, Paternoster-Row, 1800. ";"4 vols (I 190p; II 216p; III 239p; IV 283p). 12°.";"Corvey; CME 3-628-47946-0; EN2 1800: 44; ESTC n048052; OCLC 6818425.";NA;"French trans., 1823 [as Les Brigands de l'Estramadure, ou l'orphelin de la forêt (Maurice Lévy, 'Bibliographie Chronologique', in his Le Roman <U+0091>gothique<U+0092> Anglais 1764<U+0096>1824 (Toulouse, 1968))]."
"44";"1800A044";"1800.";"Mrs A. KENDALL ";"Female.";"TALES OF THE ABBEY FOUNDED ON HISTORICAL FACTS IN THREE VOLUMES BY A KENDALL AUTHOR OF DERWENT PRIORY THE CASTLE ON THE ROCK C C";"London:Printed by C. Whittingham, Dean Street, Fetter Lane; for H. D. Symonds, Paternoster-Row, 1800. ";"3 vols (I iv, 268p; II 314p; III 252p). 12°.";"Corvey; CME 3-628-47996-7; EN2 1800: 45; ESTC n047689; OCLC 16721714.";"'Advertisement' dated Isleworth, 1 Sept 1800.";"Dublin 1801 (OCLC)."
"45";"1800A045";"1800.";"Anne KER ";"Female.";"ADELINE ST JULIAN OR THE MIDNIGHT HOUR A NOVEL IN TWO VOLUMES BY MRS ANNE KER AUTHOR OF THE HEIRESS DI MONTALDE C";"London:Printed by J. Bonsor, Salisbury Square; for J. and E. Kerby, Bond Street; and sold by T. Hurst, Paternoster Row, 1800. ";"2 vols (I 225p, ill.; II 228p). 12°.";"Corvey; CME 3-628-47994-0; EM 286: 4; EN2 1800: 46; ESTC t070733; OCLC 6853516.";"Frontispiece depicts a ghost.";NA
"46";"1800A046";"1800.";"Anna Maria BENNETT? orEliza LAKE? ";"Female.";"DE VALCOURT IN TWO VOLUMES";"London:Printed for R. Dutton, Birchin-Lane, Cornhill, 1800. ";"2 vols (I 262p; II 250p). 12°.";"BL 12612.aaa.29; EM 137: 6; EN2 1800: 48; ESTC t064714; xOCLC.";"Attributed in Block and OCLC to Anna Maria Bennett, the latter following the t.p. attribution to 'Mrs. Bennett' of the Philadelphia 1801 edn; the Dublin edn of 1800 (perhaps the original source of the attribution) also states 'by Mrs. Bennett' on its t.p. (Bru ENC copy). But the title is given as a work 'by the author' in Eliza Lake's The Wheel of Fortune (EN2 1806: 41). ESTC cites the  attribution to Bennett doubtfully.";"Dublin 1800 (Bru ENC); Philadelphia 1801 (OCLC)."
"47";"1800A047";"1800.";"Francis LATHOM ";"Male.";"MYSTERY A NOVEL IN TWO VOLUMES BY FRANCIS LATHOM AUTHOR OF MEN AND MANNERS OF WHICH A NEW EDITION IS JUST PUBLISHED THE MIDNIGHT BELL THE CASTLE OF OLLADA C";"London:Printed for H. D. Symonds, Paternoster-Row, by T. Davison, Lombard-Street, White-Friars, 1800. ";"2 vols (I viii, 292p; II 268p). 12°.";"Corvey; CME 3-628-47961-4; EN2 1800: 49; ESTC t231339; OCLC 6875634.";NA;"Dublin 1800 (ESTC)."
"48";"1800A048";"1800.";"Michel-Théodore LECLERCQ ";"Male.";"THE INVISIBLE MAN OR DUNCAM CASTLE IN TWO VOLUMES FROM THE FRENCH";"London:Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800. ";"2 vols (I 227p; II 215p). 12°.";"BL C.192.a.173; EN2 1800: 50; ESTC t226755; xOCLC.";"Trans. of Le chateau de Duncam, ou l'homme invisible (Paris, 1800). Summers attributes to Pigault-Lebrun, but Blakey questions this authorship.";NA
"49";"1800A049";"1800.";"William LINLEY ";"Male.";"FORBIDDEN APARTMENTS A TALE IN TWO VOLUMES BY WILLIAM LINLEY";"London:Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800. ";"2 vols (I x, 280p; II 328p). 12°.";"MH-H *EC8.L6487.800f; EM 1007: 26; EN2 1800: 51; ESTC n002288; OCLC 27533678.";"Preface argues the case for compactness in fiction, compared with stories by some female authors 'made to drag through six volumes' (p. vii).";"French trans., 1801 [as Le Jeune Héritier, ou les appartements défendus (CCFR)]."
