short_title;title;review_reference
THE MAID OF QUALITY;THE MAID OF QUALITY: OR, THE HISTORY OF LADY LUCY LAYTON. IN TWO VOLUMES.;"CR 29: 47-9 (Jan 1770); MR 42: 487 (June 1770); AF I: 1724."
THE MALE-COQUETTE;"THE MALE-COQUETTE; OR, THE HISTORY OF THE HON. EDWARD ASTELL. IN TWO VOLUMES.";"CR 28: 450-2 (Dec 1769); MR 42: 72 (Jan 1770); AF I: 2749."
THE MEMOIRS OF MISS ARABELLA BOLTON;"THE MEMOIRS OF MISS ARABELLA BOLTON. CONTAINING A GENUINE ACCOUNT OF HER SEDUCTION, AND THE BARBAROUS TREATMENT SHE AFTERWARDS RECEIVED FROM THE HONOURABLE C- L--, THE PRESENT SUPPOSED M--R FOR THE COUNTY OF MIDDLESEX. WITH VARIOUS OTHER MISFORTUNES AND EMBARRASSMENTS, INTO WHICH THIS UNHAPPY YOUNG WOMAN HAS BEEN CRUELLY INVOLVED THROUGH THE VICISSITUDES OF LIFE, AND THE VILLAINY OF HER SEDUCER. THE WHOLE TAKEN FROM THE ORIGINAL LETTERS OF THE SAID C-L-TO DR. KELLY, WHO ATTENDED HER IN THE GREATEST MISFORTUNES AND DISTRESSES UNDER WHICH SHE LABOURED; AND ALSO FROM SEVERAL ORIGINAL LETTERS FROM DOCTOR KELLY AND MISS BOLTON, AND FROM OTHER AUTHENTICATED PAPERS IN THE HANDS OF THE PUBLISHER.";"CR 30: 240 (Sept 1770) both vols.; MR 42: 251 (Mar 1770) vol. l; MR43: 65 (July 1770) vol. 2;AF I: 1808, 1809."
*THE MODERN COUPLE;"*THE MODERN COUPLE; OR, THE HISTORY OF MR. AND MRS. DAVERS. IN A SERIES OF LETTERS.";"CR 31: 76 (Jan 1771); MR 43: 500 (Dec 1770)."
THE PORTRAIT OF LIFE;"THE PORTRAIT OF LIFE, OR THE VARIOUS EFFECTS OF VIRTUE AND VICE DELINEATED; AS THEY DAILY APPEAR ON THE GREAT THEATRE OF THE WORLD. IN A COLLECTION OF INTERESTING NOVELS. IN TWO VOLUMES.";"CR29: 149 (Feb 1770); MR42: 71 (Jan 1770); AF I: 2246."
*THE PREDICTION;"*THE PREDICTION; OR, THE HISTORY OF MISS LUCY MAXWELL. BY A LADY.";"CR 30: 306-9 (Oct 1770); MR43: 326 (Oct 1770); AF I: 2270."
THE SALLIES OF GENIUS;THE SALLIES OF GENIUS, AND WANDERINGS OF YOUTH: OR, THE ADVENTURES OF COURSILLAC AND DORIGNI. TAKEN CHIEFLY FROM THE FRENCH.;
THE STORY OF THE METHODIST-LADY;THE STORY OF THE METHODIST-LADY: OR THE INJUR'D HUSBAND'S REVENGE. A TRUE HISTORY.;
THE UNHAPPY WIFE;THE UNHAPPY WIFE, A SERIES OF LETTERS. BY A LADY. IN TWO VOLUMES.;"CR 29: 474-5 (June 1770); MR 42: 250 (Mar 1770); AF I: 2828."
THE YOUNGER BROTHER;THE YOUNGER BROTHER, A TALE.;"CR34: 77 (July 1772); MR46: 540 (May 1772); AF I: 3019."
THE HISTORY OF CHARLES WENTWORTH;THE HISTORY OF CHARLES WENTWORTH, ESQ. IN A SERIES OF LETTERS. INTERSPERSED WITH A VARIETY OF IMPORTANT REFLECTIONS, CALCULATED TO IMPROVE MORALITY, AND PROMOTE THE OECONOMY OF HUMAN LIFE.;"CR 29: 358-64 (May 1770); MR 43: 67 (July 1770); AF I: 141."
THE ADVENTURES OF A BANK-NOTE;THE ADVENTURES OF A BANK-NOTE. IN TWO VOLUMES. / VOLUME THREE./ VOLUME FOUR.;"CR30: 395 (Nov 1770), MR 43: 152 (Aug 1770) vols. 1-2; CR 31: 475 (June 1771), MR 44: 333 (Apr 1771) vols. 3-4; AF I: 232,233."
THE FOOL OF QUALITY;"THE FOOL OF QUALITY; OR, THE HISTORY OF HENRY EARL OF MORELAND. VOLUME V. BY MR BROOKE.";"CR 30: 459-60 (Dec 1770) vols. 3-5; MR 42: 330 (Apr 1770) vol. 5 only; AF I: 266."
THE NIGHT AND MOMENT;THE NIGHT AND MOMENT. A DIALOGUE. TRANSLATED FROM THE FRENCH, OF M. CREBILLON.;CR29: 396 (May 1770).
THE YOUNGER SISTER;THE YOUNGER SISTER.;"CR30: 143-6 (Aug 1770); MR42: 487-8 (June 1770); AF I: 590."
THE LIFE AND ADVENTURES OF THE PRINCE OF SALERMO;"THE LIFE AND ADVENTURES OF THE PRINCE OF SALERMO: CONTAINING AN ACCOUNT OF HIS ADVENTURES AT VENICE, AND IN HUNGARY; HIS CAPTIVITY AT DAMAS, AND AMOUR WITH AN OTTOMAN PRINCESS, TOGETHER WITH HIS RETURN TO ITALY: WITH MANY ENTERTAINING DESCRIPTIONS OF THE LAWS, CUSTOMS, AND MANNERS OF THE SEVERAL COUNTRIES THROUGH WHICH HE TRAVELLED. BY THE MARQUIS DE VERE, A VENETIAN NOBLEMAN.";"CR29: 148-9 (Feb 1770); MR42: 251 (Mar 1770)."
THEODORA;THEODORA, A NOVEL. BY THE RIGHT HONOURABLE LADYDOROTHEA DU BOIS, IN TWO VOLUMES.;"CR 29: 474 (June 1770); MR 43: 65-6 (July 1770); AF I: 692."
THE LIFE AND EXTRAORDINARY ADVENTURES;THE LIFE AND EXTRAORDINARY ADVENTURES, THE PERILS AND CRITICAL ESCAPES OF TIMOTHY GINNADRAKE, THAT CHILD OF CHECQUERED [SIC] FORTUNE. IN THREE VOLUMES [vols. 1 AND 2]. THE THIRD VOLUME OF THE LIFE AND ADVENTURES OF TIMOTHY GINNADRAKE, CONTAINING A CONCISE ACCOUNT OF THE CITY OF BATH, FROM THE YEAR 1670, TO THE PRESENT TIME [vol. 3].;"CR34: 51-4 (July 1772), MR42: 488 (June 1770)vol. 1; CR47: 239 (Sept 1772) all 3 vols."
MEMOIRS OF THE MARQUIS DE ST;MEMOIRS OF THE MARQUIS DE ST. FORLAIX. TRANSLATED FROM THE FRENCH OF MONS. FRAMERY. BY MRS. BROOKE.;"CR 30: 417-20 (Dec 1770), MR 43: 362-5 (Nov 1770) vols. 1-2; MR 44: 48-51 (Jan 1771) vols. 3-4; AF I: 259, 260."
A SERIES OF GENUINE LETTERS;A SERIES OF GENUINE LETTERS, BETWEEN HENRY AND FRANCES. VOLUME V / VOLUME VI.;"CR 30: 460-1 (Dec 1770) 'vols. 4 & 5' acc. to rev. title, but actuallyofvols. 5 &6;MR43: 490 (Dec 1770); AF I: 1151."
THE POSTHUMOUS WORKS OF A LATE CELEBRATED GENIUS;THE POSTHUMOUS WORKS OF A LATE CELEBRATED GENIUS, DECEASED. IN TWO VOLUMES.;"CR 29: 102-9 (Feb 1770); MR 42: 360-3 (May 1770); AF I: 1153."
THE PLACID MAN;THE PLACID MAN: OR, MEMOIRS OF SIR CHARLES BEVILLE. IN TWO VOLUMES.;"CR 29: 42-3 (Jan 1770); MR 42: 43-6 (Jan 1770); AF I: 1402."
LUCILLA;LUCILLA: OR THE PROGRESS OF VIRTUE. TRANSLATED FROM THE FRENCH.;"CR 29: 366-7 (May 1770); MR 42: 70-1 (Jan 1770); AF I: 2351."
A TRUE NARRATIVE OF AN UNFORTUNATE ELOPEMENT;A TRUE NARRATIVE OF AN UNFORTUNATE ELOPEMENT, IN A SERIES OF LETTERS. BY XXXXXX SXXXX, ESQ.;MR 42: 328 (Apr 1770).
*THE DANGER OF THE PASSIONS;"*THE DANGER OF THE PASSIONS; OR, SYRIAN AND EGYPTIAN ANECDOTES. TRANSLATED FROM THE FRENCH OF THE AUTHOR OF THE SCHOOL OF FRIENDSHIP.";"CR31: 160 (Feb 1771);MR44: 173 (Feb 1771)."
HENRIETTA;"HENRIETTA, COUNTESS OSENVOR; A SENTIMENTAL NOVEL IN A SERIES OF LETTERS TO LADY SUSANNAH FITZROY. BY MR TREYSSAC DE VERGY, COUNSELLOR IN THE PARLIAMENT OF PARIS, AND EDITOR OF THE LOVERS.";"CR30: 316 (Oct 1770); MR42: 488 (June 1770)."
NATURE;NATURE, A NOVEL, IN A SERIES OF LETTERS.;"CR 30: 316 (Oct 1770); MR 42: 250 (Mar 1770); AF I: 2776."
*THE SCOTCHMAN;*THE SCOTCHMAN: OR, THE WORLD AS IT GOES. A NOVEL. BY THE CHEVALIER TREYSSAC DE VERGY, COUNSELLOR IN THE PARLIAMENT OF PARIS, AND EDITOR OF THE LOVERS.;"CR30: 316-7 (Oct 1770); MR43: 66 (July 1770); AF I: 2778."
SENTIMENTAL LUCUBRATIONS;SENTIMENTAL LUCUBRATIONS, BY PETER PENNYLESS.;"CR 29: l 10-13 (Feb 1770); MR 42: 180-5 (Mar 1770); AF I: 2157."
THE ADVENTURES OF A JESUIT INTERSPERSED WITH SEVERAL REMARKABLE CHARACTERS;THE ADVENTURES OF A JESUIT INTERSPERSED WITH SEVERAL REMARKABLE CHARACTERS, AND SCENES IN REAL LIFE.;"CR 30: 481 (Dec 1770); MR 44: 92 (Jan 1771); AF I: 15."
THE AFFECTED INDIFFERENCE;THE AFFECTED INDIFFERENCE, A NOVEL.;"CR32: 312 (Oct 1771); MR45: 503 (Dec 1771)."
ANECDOTES OF A CONVENT;ANECDOTES OF A CONVENT. BY THE AUTHOR OF MEMOIRS OF MRS. WILLIAMS. IN THREE VOLUMES.;"CR 31: 483-4 (June 1771 ); MR 45: 144-8 (Aug 1771)."
*BELLE GROVE;"*BELLE GROVE; OR, THE FATAL SEDUCTION.";"CR 31: 232-3 (Mar 1771); MR44: 262 (Mar 1771); AF I: 162."
*BETSY;"*BETSY; OR, THE CAPRICES OF FORTUNE.";"CR 31: 484 (June 1771); MR44: 333 (Apr 1771)."
THE BROTHER;THE BROTHER. A NOVEL. BY A LADY.;"CR 31: 315 (Apr 1771); MR44: 262 (Mar 1771); AF I: 270."
THE CAPTIVE;"THE CAPTIVE; OR, THE HISTORY OF MR. CLIFFORD. TRANSLATED FROM THE FRENCH. IN TWO VOLUMES.";"CR 30: 397-8 (Nov 1770); MR 43: 400 (Nov 1770); AF I: 329."
THE CAPTIVES;"THE CAPTIVES: OR, THE HISTORY OF CHARLES ARLINGTON, ESQ; AND MISS LOUISA SOMERVILLE. IN THREE VOLUMES.";"CR 31: 483 (June 1771); MR 45: 153 (Aug 1771); AF I: 330."
*THE CONTRAST;"*THE CONTRAST; OR, HISTORY OF MISS WELDON AND MISS MOSELY.";"CR 31: 232 (Mar 1771 ); MR 44: 173 (Feb 1771)."
*COQUETILLA;"*COQUETILLA; OR, ENVY ITS OWN SCOURGE: CONTAINING THE ADVENTURES OF SEVERAL GREAT PERSONAGES. FROM A MANUSCRIPT LATE IN THE POSSESSION OF A GENTLEMAN FAMOUS FOR HIS ACQUAINTANCE WITH THE GREAT WORLD.";"CR31: 482 (June 1771); MR45: 152 (Aug 1771)."
THE DISGUISE;THE DISGUISE, A DRAMATIC NOVEL.;"CR 31: 315 (Apr 1771); MR 44: 334 (Apr 1771); AF I: 641."
*THE DIVORCE;*THE DIVORCE. IN A SERIES OF LETTERS TO AND FROM PERSONS OF HIGH RANK.;"CR31: 315 (Apr 1771); MR44: 497-8 (June 1771)."
THE FALSE STEP;"THE FALSE STEP; OR THE HISTORY OF MRS. BRUDENEL. A NOVEL. IN TWO VOLUMES.";"CR 31: 160 (Feb 1771); MR 44: 91-2 (Jan 1771)."
*THE FATAL COMPLIANCE;"*THE FATAL COMPLIANCE; OR, THE HISTORY OF MISS CONSTANTIA PEMBROKE.";"CR31: 483 (June 1771); MR44: 499 (June 177l);AF I: 850."
THE FAVOURITE;THE FAVOURITE. A MORAL TALE. WRITTEN BY A LADY OF QUALITY. IN TWO VOLUMES.;"CR 31: 159 (Feb 1771); MR44: 497 (June 1771)."
THE GENEROUS HUSBAND;"THE GENEROUS HUSBAND; OR, THE HISTORY OF LORD LELIUS AND THE FAIR EMILIA. CONTAINING LIKEWISE THE GENUINE MEMOIRS OF ASMODEI, THE PRETENDED PIEDMONTESE COUNT, FROM THE TIME OF HIS BIRTH, TO HIS LATE IGNOMINIOUS FALL IN HYDE PARK.";"CR 32: 232 (Sept 1771); MR 45: 73 (July 1771); AF I: 1035."
THE GENEROUS INCONSTANT;THE GENEROUS INCONSTANT. A NOVEL. IN TWO VOLUMES. BY A LADY.;"CR 31: 232 (Mar 1771); MR 44: 498 (June 1771); AF I: 1036."
HARRIET;HARRIET: OR, THE INNOCENT ADULTRESS.;"CR 31: 484 (June 1771); MR 44: 418 (May 1771); AF I: 1172."
THE HISTORY OF MR;THE HISTORY OF MR. CECIL AND MISS GREY. IN A SERIES OF LETTERS. IN TWO VOLUMES.;"CR31: 484 (June 1771); MR44: 262 (Mar 1771)."
THE HISTORY OF SIR WILLIAM HARRINGTON WRITTEN SOME YEARS SINCE;THE HISTORY OF SIR WILLIAM HARRINGTON WRITTEN SOME YEARS SINCE, AND REVISED AND CORRECTED BY THE LA TE MR. RICHARDSON, AUTHOR OF SIR CHARLES GRANDISON, CLARISSA, &C. NOW FIRST PUBLISHED IN FOUR VOLUMES.;"CR 31: 147-8 (Feb 1771); MR 44: 262-3 (Mar 1771); AF I: 1330."
*THE JEALOUS MOTHER;"*THE JEALOUS MOTHER; OR, INNOCENCE TRIUMPHANT.";"CR31:480-2 (June 177l);MR45: 152 (Aug 1771)."
JESSY;"JESSY; OR, THE BRIDAL DAY. A NOVEL. WRITTEN BY A LADY, AFTER THE MANNER OF THE LATE MR. RICHARDSON, (AUTHOR OF CLARISSA, &C.) BUT NOT REVISED BY THAT CELEBRATED WRITER. IN TWO VOLUMES.";"CR 31: 479-80 (June 1771); MR 45: 73 (July 1771); AF I: 1428."
LETTERS FROM CLARA;LETTERS FROM CLARA: OR, THE EFFUSIONS OF THE HEART.;"CR 31: 484 (June 1771); MR 44: 418 (May 177l);AF I: 1609."
LOUISA;LOUISA: A SENTIMENTAL NOVEL.;"MR 44: 173 (Feb 1771); AF I: 1679."
MEMOIRS OF LADY WOODFORD;MEMOIRS OF LADY WOODFORD. WRITTEN BY HERSELF, AND ADDRESSED TO A FRIEND. IN TWO VOLUMES.;"CR 31: 482 (June 1771 ); MR 44: 498 (June 1771 )."
MEMOIRS OF MR;MEMOIRS OF MR. WILSON: OR, THE PROVIDENTIAL ADULTERY. IN TWO VOLUMES.;"CR31: 160 (Feb 1771); MR44: 92 (Jan 1771); AF I: 2294."
THE NUN;"THE NUN; OR, THE ADVENTURES OF THE MARCHIONESS OF BEAUVILLE.";"CR 31: 315-16 (Apr 1771); MR44: 262 (Mar 1771); AF I: 2033."
THE NUNNERY FOR COQUETTES;THE NUNNERY FOR COQUETTES.;"CR 30: 476-7 (Dec 1770); MR 43: 489 (Dec 1770); AF I: 2034."
THE OXONIAN;THE OXONIAN: OR, THE ADVENTURES OF MR. G. EDMUNDS, STUDENT OF BRAZEN-NOSE COLLEGE, OXFORD. DEDICATED, BY HIS LORDSHIP'S PERMISSION, TO THE RIGHT HON. THE EARL OF -- BY A MEMBER OF THE UNIVERSITY.;"CR 32: 154 (Aug 1771); MR 46: 78 (Jan 1772)."
*THE PERPLEXITIES OF RICHES;*THE PERPLEXITIES OF RICHES.;"CR 33: 84 (Jan 1772); MR 46: 79 (Jan 1772)."
THE SAMIANS;THE SAMIANS, A TALE.;"CR31: 477-8 (June 1771); MR45: 156 (Aug 1771); AF I: 2433."
THE UNDUTIFUL DAUGHTER;"THE UNDUTIFUL DAUGHTER; OR, THE HISTORY OF MISS GOODWIN. IN A SERIES OF LETTERS. IN THREE VOLUMES.";"CR30: 396-7 (Nov 1770);MR43: 400 (Nov 1770);AFI: 2821."
*THE UNGUARDED MOMENT;*THE UNGUARDED MOMENT.;"CR 31: 482 (June 1771); MR45: 74 (July 1771)."
THE VICAR OF BRAY;THE VICAR OF BRAY: A TALE.;"CR32: 78 (July 177l);MR44: 334 (Apr 1771);AF I: 2852."
THE NOBLE FAMILY;"THE NOBLE FAMILY, A NOVEL; IN A SERIES OF LETTERS; BY MRS AUSTIN.";"CR 31: 482 (June 1771); MR 45: 74 (July 1771)."
MISS MELMOTH;"MISS MELMOTH; OR, THE NEW CLARISSA. IN THREE VOLUMES.";"CR31: 479 (June 1771); MR45: 74 (July 1771)."
THE GENEROUS LOVER;THE GENEROUS LOVER: OR THE ADVENTURES OF THE MARCHIONESS DE BRIANVILLE. IN THREE VOLUMES. TRANSLATED FOM THE ORIGINAL ITALIAN OF THE ABBE PIETRO CHIARI.;CR32: 229-30 (Sept 1771).
ROSARA;"ROSARA; OR, THE ADVENTURES OF AN ACTRESS: A STORY FROM REAL LIFE TRANSLATED FROM THE ITALIAN OF PIETRO CHIARI.";"CR32: 231-2 (Sept 1771); MR44: 498 (June 1771)."
*THE ELOPEMENT;"*THE ELOPEMENT; OR PERFIDY PUNISHED.";"CR 32: 392 (Nov 1771); MR45: 503 (Dec 1771)."
THE HISTORY OF LADY BARTON;THE HISTORY OF LADY BARTON, A NOVEL, IN LETTERS, BY MRS GRIFFITH. IN THREE VOLUMES.;"CR 32: 372-7 (Nov 1771 ); MR 46: 165 (Feb 1772); AF I: 1145."
LETTERS TO ELEONORA;LETTERS TO ELEONORA. IN TWO VOLUMES.;"CR 32: 230-1 (Sept 1771); MR45: 73 (July 1771)."
PRO & CON;"PRO & CON; OR, THE OPINIONISTS: AN ANCIENT FRAGMENT. PUBLISHED FOR THE AMUSEMENT OF THE CURIOUS IN ANTIQUITY. BY MRS LATTER.";"CR 32: 240 (Sept 1771); MR 45: 156 (Aug 1771); AF I: 1573."
THE CONTEMPLATIVE MAN;"THE CONTEMPLATIVE MAN. OR THE HISTORY OF CHRISTOPHER CRAB, ESQ; OF NORTH WALES.";"CR 32: 448-53 (Dec 1771); MR 46: 263-4 (Mar 1772); AF I: 1575."
THE MAN OF FEELING;THE MAN OF FEELING.;"CR 31: 482-3 (June 1771); MR44: 418 (May 1771); AF I: 1709."
*THE MARRIAGE;*THE MARRIAGE: OR, HISTORY OF FOUR WELL-KNOWN CHARACTERS. TRANSLATED FROM THE CELEBRATED FRENCH NOVEL OF THE SAME TITLE. BY THOMAS MARTEN, A.M.;"CR 32: 231 (Sept 1771); MR 45: 73 (July 1771); AF I: 1760."
THE FAULT WAS ALL HIS OWN;THE FAULT WAS ALL HIS OWN. IN A SERIES OF LETTERS. BY A LADY.;"CR 31: 397 (May 1771); MR 44: 333 (Apr 1771); AF I: 854."
THE CURATE OF COVENTRY;THE CURATE OF COVENTRY: A TALE. BY JOHN POTTER, AUTHOR 166 1771 OF THE HISTORY AND ADVENTURES OF ARTHUR O'BRADLEY. IN TWO VOLUMES.;"CR 31: 301-6 (Apr 1771); MR 44: 418 (May 1771); AF I: 2249."
THE GENUINE DISTRESSES OF DAMON AND CELIA;THE GENUINE DISTRESSES OF DAMON AND CELIA: IN A SERIES OF LETTERS BETWEEN THE LATE GENERAL CRAUFURD, SIR JOHN HUSSEY DELA VAL, BART. SIR FRANCIS BLAKE DELA VAL, K.B. AND TWO UNFORTUNATE LOVERS. BY WILLIAM RENWICK.;"CR32: 311-12 (Oct 1771); MR 45: 331-2 (Oct 1771); AF I: 2347."
SENTIMENTAL TALES;SENTIMENTAL TALES, IN TWO VOLUMES.;"CR 31: 231-2 (Mar 1771); MR44: 333 (Mar 1771); AF I: 2426."
THE OLD MAID;"THE OLD MAID; OR, HISTORY OF MISS RAVENSWORTH. IN A SERIES OF LETTERS BY MRS SKINN, LATE MISS MASTERMAN, OF YORK, IN THREE VOLUMES.";"CR 30: 4 78-9 (Dec 1770); MR 43: 500 (Dec 1770); AF I: 2558."
THE EXPEDITION OF HUMPHRY CLINKER;THE EXPEDITION OF HUMPHRY CLINKER. BY THE AUTHOR OF RODERICK RANDOM. IN THREE VOLUMES.;"CR 32: 81-8 (Aug 1771); MR45: 152 (Aug 1771); AF I: 2595."
*THE AUTHENTIC MEMOIRS OF THE COUNTESS DE BARRE;*THE AUTHENTIC MEMOIRS OF THE COUNTESS DE BARRE, THE FRENCH KING,S MISTRESS, CAREFULLY COLLATED FROM A MANUSCRIPT IN THE POSSESSION OF THE DUCHESS OF VILLEROY, BY SIR FRANCIS N--.;"MR 44: 92 (Jan 1771); AF I: 120."
*THE MISTAKES OF THE HEART;*THE MISTAKES OF THE HEART: OR, MEMOIRS OF LADY CAROLINE PELHAM, AND LADY VICTORIA NEVIL.;"CR33: 182 (Feb 1772); MR46: 164 (Feb 1772)."
THE PALINODE;THE PALINODE: OR, THE TRIUMPHS OF VIRTUE OVER LOVE: A SENTIMENTAL NOVEL IN WHICH ARE PAINTED TO THE LIFE THE CHARACTERS AND MANNERS OF SOME OF THE MOST CELEBRATED BEAUTIES IN ENGLAND. BY MR. TREYSSAC DE VERGY.;"CR 32: 230 (Sept 1771 ); MR 45: 73 (July 1771); AF I: 2777."
THE LIFE OF LAMENTHER;THE LIFE OF LAMENTHER: A TRUE HISTORY. WRITTEN BY HERSELF. IN FIVE PARTS. CONTAINING A JUST ACCOUNT OF THE MANY MISFORTUNES SHE UNDERWENT, OCCASIONED BY THE ILL TREATMENT OF AN UNNATURAL FATHER.;"CR 32: 471 (Dec 1771); MR 46: 77-78 (Jan 1772); AF I: 2894."
SOCRATES OUT OF HIS SENSES;SOCRATES OUT OF HIS SENSES: OR, DIALOGUES OF DIOGENES OF SINOPE. TRANSLATED FROM THE GERMAN OF WIELAND, BY MR. WINTERSTED.;"CR33: 216-18 (Mar 1772);MR46: 624 (June 1772)."
CUCKOLDOM TRIUMPHANT OR;CUCKOLDOM TRIUMPHANT OR, MATRIMONIAL INCONTINENCE VINDICATED. ILLUSTRATED WITH INTRIGUES PUBLIC AND PRIVATE, ANCIENT AND MODERN. BY A GENTLEMAN OF DOCTORS COMMONS. TO WHICH IS ADDED, A LOOKING-GLASS FOR EACH SEX.;"CR 32: 154 (Aug 1771 ); MR 45: 153 (Aug 1771 ); AF I: 564."
THE MAN OF HONOUR OR;THE MAN OF HONOUR OR, THE HISTORY OF HARRY WATERS, ESQ.;"CR 32: 311 (Oct 1771), MR45: 503 (Dec 1771) vol. 1; CR 34: 473 (Dec 1772) vols. 2-3; MR 48: 71 (Jan 1773) vols. 2-3; AF I: 1735, 1736."
THE ADVANTAGES OF DELIBERATION;"THE ADVANTAGES OF DELIBERATION; OR, THE FOLLY OF INDISCRETION. IN TWO VOLUMES.";"CR 33: 83 (Jan 1772); MR46: 79 (Jan 1772);AF I: 12."
THE BIRMINGHAM COUNTERFEIT;"THE BIRMINGHAM COUNTERFEIT; OR, INVISIBLE SPECTATOR. A SENTIMENTAL ROMANCE. IN TWO VOLUMES.";"CR 33: 325-7 (Apr 1772); MR 46: 540 (May 1772); AF I: 192."
THE CAUTIOUS LOVER;"THE CAUTIOUS LOVER; OR, THE HISTORY OF LORD WOBURN. BY A YOUNG GENTLEMAN OF OXFORD. IN TWO VOLUMES.";"CR 33: 180-1 (Feb 1772); MR 46: 265 (Mar 1772); AF I: 353."
THE EGG;THE EGG, OR THE MEMOIRS OF GREGORY GIDDY, ESQ: WITH THE LUCUBRATIONS OF MESSRS. FRANCIS FLIMSY, FREDERICK FLORID, AND BEN BOMBAST. TO WHICH ARE ADDED, THE PRIVATE OPINIONS OF PATTY POUT, LUCY LUSCIOUS, AND PRISCILLA POSITIVE. ALSO THE MEMOIRS OF A RIGHT HONOURABLE PUPPY. OR, THE BON TON DISPLAY'D: TOGETHER WITH ANECDOTES OF A RIGHT HONOURABLE SCOUNDREL. CONCEIVED BY A CELEBRATED HEN, AND LAID BEFORE THE PUBLIC BY A FAMOUS COCK-FEEDER.;"CR 34: 472 (Dec 1772); MR 47: 411 (Nov 1772); AF I: 717."
ERMINA;"ERMINA; OR, THE FAIR RECLUSE. A NOVEL. IN A SERIES OF LETTERS BY A LADY, AUTHOR OF DORINDA CALSBY [sic], &C. TWO VOLUMES.";"MR47: 324 (Oct 1772); AF I: 790."
THE FEELINGS OF THE HEART;THE FEELINGS OF THE HEART: OR, THE LETTERS OF A COUNTRY GIRL. WRITTEN BY HERSELF, AND ADDRESSED TO A LADY OF QUALITY. IN TWO VOLUMES.;"CR 33: 255 (Mar 1772); MR 46: 625 (June 1772); AF I: 873."
FEMALE FRAILTY;"FEMALE FRAILTY; OR, THE HISTORY OF MISS WROUGHTON.";"CR32: 393 (Nov 1771);MR46: 78-9 (Jan 1772)."
FREDERIC;FREDERIC: OR, THE FORTUNATE BEGGAR. WHEREIN IS DISPLAYED THE VARIOUS EVENTS IN HUMAN LIFE, IN A SERIES OF LETTERS, COPIED FROM THE ORIGINALS.;"CR 35: 79 (Jan 1773); MR47: 487 (Dec l 772);AF I: 968."
GENUINE MEMOIRS OF MISS HARRIET MELVIN AND MISS LEONORA STANWAY;"GENUINE MEMOIRS OF MISS HARRIET MELVIN AND MISS LEONORA STANWAY; IN A SERIES OF LETTERS: BY A YOUNG LADY OF GLOCESTER.";"CR 33: 182 (Feb 1772); MR 46: 264-5 (Mar 1772); AF I: 1056."
