"";"id";"review";"review_title";"date";"notes";"full_meta"
"32";"1800A041";"1800A041_1";"Critical Review";" 3rd ser. 22 (Mar 1811): 300–06.";"1";"Critical Review, 3rd ser. 22 (Mar 1811): 300–06."
"33";"1800A043";"1800A043_1";"Critical Review";" 2nd ser. 31 (Apr 1801): 474–75.";"1";"Critical Review, 2nd ser. 31 (Apr 1801): 474–75."
"34";"1800A043";"1800A043_2";"Monthly Review";" 2nd ser. 34 (Feb 1801): 203-04.";"1";"Monthly Review, 2nd ser. 34 (Feb 1801): 203-04."
"35";"1800A044";"1800A044_1";"Critical Review";" 2nd ser. 31 (Feb 1801): 235.";"1";"Critical Review, 2nd ser. 31 (Feb 1801): 235."
"36";"1800A045";"1800A045_1";"Critical Review";" 2nd ser. 29 (May 1800): 116.";"1";"Critical Review, 2nd ser. 29 (May 1800): 116."
"37";"1800A045";"1800A045_2";"Monthly Review";" 33 (Sept 1800): 103.";"1";"Monthly Review, 33 (Sept 1800): 103."
"38";"1800A046";"1800A046_1";"Critical Review";" 2nd ser. 30 (Oct 1800): 231.";"1";"Critical Review, 2nd ser. 30 (Oct 1800): 231."
"39";"1800A047";"1800A047_1";"Critical Review";" 2nd ser. 30 (Sept 1800): 116.";"1";"Critical Review, 2nd ser. 30 (Sept 1800): 116."
"40";"1800A047";"1800A047_2";"Monthly Review";" 2nd ser. 33 (Oct 1800): 207.";"1";"Monthly Review, 2nd ser. 33 (Oct 1800): 207."
"41";"1800A049";"1800A049_1";"Critical Review";" 2nd ser. 32 (June 1801): 231.";"1";"Critical Review, 2nd ser. 32 (June 1801): 231."
"42";"1800A050";"1800A050_1";"Critical Review";" 2nd ser. 31 (Mar 1801): 355.";"1";"Critical Review, 2nd ser. 31 (Mar 1801): 355."
"43";"1800A050";"1800A050_2";"Monthly Review";" 2nd ser. 35 (July 1801): 331–32.";"1";"Monthly Review, 2nd ser. 35 (July 1801): 331–32."
"44";"1800A053";"1800A053_1";"Critical Review";" 2nd ser. 31 (Mar 1801): 356.";"1";"Critical Review, 2nd ser. 31 (Mar 1801): 356."
"45";"1800A055";"1800A055_1";"Critical Review";" 2nd ser. 28 (Mar 1800): 264–76.";"1";"Critical Review, 2nd ser. 28 (Mar 1800): 264–76."
"46";"1800A055";"1800A055_2";"Monthly Review";" 2nd ser. 32 (June 1800): 149–52.";"1";"Monthly Review, 2nd ser. 32 (June 1800): 149–52."
"47";"1800A057";"1800A057_1";"Critical Review";" 2nd ser. 32 (May 1801): 105–06.";"1";"Critical Review, 2nd ser. 32 (May 1801): 105–06."
"48";"1800A058";"1800A058_1";"Critical Review";" 2nd ser. 33 (Nov 1801): 354.";"1";"Critical Review, 2nd ser. 33 (Nov 1801): 354."
"49";"1800A058";"1800A058_2";"Monthly Review";" 2nd ser. 33 (Dec 1800): 446.";"1";"Monthly Review, 2nd ser. 33 (Dec 1800): 446."
"50";"1800A059";"1800A059_1";"Critical Review";" 2nd ser. 31 (Jan 1801): 115–16.";"1";"Critical Review, 2nd ser. 31 (Jan 1801): 115–16."
"51";"1800A061";"1800A061_1";"Critical Review";" 2nd ser. 31 (Mar 1801): 355.";"1";"Critical Review, 2nd ser. 31 (Mar 1801): 355."
"52";"1800A064";"1800A064_1";"Critical Review";" 2nd ser. 31 (Feb 1801): 235.";"1";"Critical Review, 2nd ser. 31 (Feb 1801): 235."
"53";"1800A066";"1800A066_1";"Critical Review";" 2nd ser. 32 (June 1801): 231.";"1";"Critical Review, 2nd ser. 32 (June 1801): 231."
"54";"1800A067";"1800A067_1";"Critical Review";" 2nd ser. 31 (Feb 1801): 236.";"1";"Critical Review, 2nd ser. 31 (Feb 1801): 236."
"55";"1800A068";"1800A068_1";"Critical Review";" 2nd ser. 32 (May 1801): 35–42.";"1";"Critical Review, 2nd ser. 32 (May 1801): 35–42."
"56";"1800A068";"1800A068_2";"Critical Review";" 2nd ser. 37 (Jan 1803): 54–58.";"1";"Critical Review, 2nd ser. 37 (Jan 1803): 54–58."
"57";"1800A068";"1800A068_3";"Flowers of Literature";"Flowers of Literature (1801–02): 452.";"1";"Flowers of Literature (1801–02): 452."
"58";"1800A068";"1800A068_4";"Monthly Review";" 35 (July 1801): 332.";"1";"Monthly Review, 35 (July 1801): 332."
"59";"1800A068";"1800A068_5";"Monthly Review";" 39 (Dec 1802): 428.";"1";"Monthly Review, 39 (Dec 1802): 428."
"60";"1800A069";"1800A069_1";"Critical Review";" 2nd ser. 28 (Apr 1800): 477.";"1";"Critical Review, 2nd ser. 28 (Apr 1800): 477."
"61";"1800A070";"1800A070_1";"Critical Review";" 2nd ser. 31 (Apr 1801): 474.";"1";"Critical Review, 2nd ser. 31 (Apr 1801): 474."
"62";"1800A070";"1800A070_2";"Monthly Review";" 34 (Feb 1801): 204.";"1";"Monthly Review, 34 (Feb 1801): 204."
"63";"1800A071";"1800A071_1";"Critical Review";" 2nd ser. 31 (Jan 1801): 115.";"1";"Critical Review, 2nd ser. 31 (Jan 1801): 115."
"64";"1800A073";"1800A073_1";"Critical Review";" 2nd ser. 31 (Apr 1801): 479.";"1";"Critical Review, 2nd ser. 31 (Apr 1801): 479."
"65";"1800A073";"1800A073_2";"Flowers of Literature";"Flowers of Literature (1801–02): 457.";"1";"Flowers of Literature (1801–02): 457."
"66";"1800A073";"1800A073_3";"Monthly Review";" 2nd ser. 35 (Aug 1801): 430–31.";"1";"Monthly Review, 2nd ser. 35 (Aug 1801): 430–31."
"67";"1800A074";"1800A074_1";"Critical Review";" 2nd ser. 30 (Oct 1800): 230.";"1";"Critical Review, 2nd ser. 30 (Oct 1800): 230."
"68";"1800A074";"1800A074_2";"Monthly Review";" 2nd ser. 32 (May 1800): 93.";"1";"Monthly Review, 2nd ser. 32 (May 1800): 93."
"69";"1800A075";"1800A075_1";"Monthly Review";" 33 (Oct 1800): 207.";"1";"Monthly Review, 33 (Oct 1800): 207."
"70";"1800A077";"1800A077_1";"Critical Review";" 2nd ser. 29 (Aug 1800): 472.";"1";"Critical Review, 2nd ser. 29 (Aug 1800): 472."
"71";"1800A077";"1800A077_2";"Monthly Review";" 33 (Oct 1800): 206.";"1";"Monthly Review, 33 (Oct 1800): 206."
"72";"1800A078";"1800A078_1";"Critical Review";" 2nd ser. 30 (Nov 1800): 351–52.";"1";"Critical Review, 2nd ser. 30 (Nov 1800): 351–52."
"73";"1800A078";"1800A078_2";"Monthly Review";" 33 (Sept 1800): 103.";"1";"Monthly Review, 33 (Sept 1800): 103."
"74";"1800A080";"1800A080_1";"Critical Review";" 2nd ser. 31 (Mar 1801): 357.";"1";"Critical Review, 2nd ser. 31 (Mar 1801): 357."
"75";"1800A081";"1800A081_1";"Critical Review";" 2nd ser. 31 (Mar 1801): 356–57.";"1";"Critical Review, 2nd ser. 31 (Mar 1801): 356–57."
"76";"1801A001";"1801A001_1";"Critical Review";" 2nd ser. 33 (Dec 1801): 461.";"1";"Critical Review, 2nd ser. 33 (Dec 1801): 461."
"77";"1801A001";"1801A001_2";"Monthly Review";" 2nd ser. 38 (July 1802): 312.";"1";"Monthly Review, 2nd ser. 38 (July 1802): 312."
"78";"1801A002";"1801A002_1";"Critical Review";" 2nd ser. 33 (Sept 1801): 114.";"1";"Critical Review, 2nd ser. 33 (Sept 1801): 114."
"79";"1801A003";"1801A003_1";"Critical Review";" 2nd ser. 32 (Aug 1801): 470.";"1";"Critical Review, 2nd ser. 32 (Aug 1801): 470."
"80";"1801A005";"1801A005_1";"Critical Review";" 2nd ser. 32 (July 1801): 352.";"1";"Critical Review, 2nd ser. 32 (July 1801): 352."
"81";"1801A006";"1801A006_1";"Critical Review";" 2nd ser. 33 (Oct 1801): 237.";"1";"Critical Review, 2nd ser. 33 (Oct 1801): 237."
"82";"1801A010";"1801A010_1";"Critical Review";" 2nd ser. 34 (Jan 1802): 117.";"1";"Critical Review, 2nd ser. 34 (Jan 1802): 117."
"83";"1801A012";"1801A012_1";"Critical Review";" 2nd ser. 31 (Apr 1801): 475.";"1";"Critical Review, 2nd ser. 31 (Apr 1801): 475."
"84";"1801A014";"1801A014_1";"Critical Review";" 2nd ser. 33 (Sept 1801): 114.";"1";"Critical Review, 2nd ser. 33 (Sept 1801): 114."
"85";"1801A016";"1801A016_1";"Critical Review";" 2nd ser. 35 (May 1802): 113.";"1";"Critical Review, 2nd ser. 35 (May 1802): 113."
"86";"1801A017";"1801A017_1";"Critical Review";" in spite of the numberless absurdities in which they are enveloped. Modern philosophy has unquestionably done much to enlighten the understanding and to correct the ideas of mankind: but it is no less true that many of its pretended professors have carried certain wild maxims to an extravagant length.";"1";"Critical Review, 2nd ser. 34 (Feb 1802) 238.To consider as an innovation every attempt to alter old systems would be madness and superstition in the highest degree. Without a spirit of investigation, although it may be sometimes wrongly exercised, long-established dogmas would continue to be believed, and long-established customs continue to be practised, in spite of the numberless absurdities in which they are enveloped. Modern philosophy has unquestionably done much to enlighten the understanding and to correct the ideas of mankind: but it is no less true that many of its pretended professors have carried certain wild maxims to an extravagant length."
"87";"1801A017";"1801A017_2";"Monthly Review";" 2nd ser. 37 (Apr 1802): 425.";"1";"Monthly Review, 2nd ser. 37 (Apr 1802): 425."
"88";"1801A018";"1801A018_1";"Critical Review";" 2nd ser. 34 (Apr 1802): 476.";"1";"Critical Review, 2nd ser. 34 (Apr 1802): 476."
"89";"1801A019";"1801A019_1";"Critical Review";" 2nd ser. 32 (May 1801): 107.";"1";"Critical Review, 2nd ser. 32 (May 1801): 107."
"90";"1801A021";"1801A021_1";"Critical Review";" 2nd ser. 32 (June 1801): 232.";"1";"Critical Review, 2nd ser. 32 (June 1801): 232."
"91";"1801A022";"1801A022_1";"Flowers of Literature";"Flowers of Literature (1801–02): 455.";"1";"Flowers of Literature (1801–02): 455."
"92";"1801A022";"1801A022_2";"Flowers of Literature";"Flowers of Literature for 1801–02: ‘[.";"0";"Flowers of Literature for 1801–02: ‘[."
"93";"1801A022";"1801A022_3";"Monthly Review";" 2nd ser. 37 (Apr 1802): 425.";"1";"Monthly Review, 2nd ser. 37 (Apr 1802): 425."
"94";"1801A023";"1801A023_1";"Monthly Review";" 2nd ser. 38 (July 1802): 314.";"1";"Monthly Review, 2nd ser. 38 (July 1802): 314."
"95";"1801A024";"1801A024_1";"Critical Review";" 2nd ser. 34 (Apr 1802): 449–53.";"1";"Critical Review, 2nd ser. 34 (Apr 1802): 449–53."
"96";"1801A024";"1801A024_2";"Flowers of Literature";"Flowers of Literature (1801–02): 454–55.";"1";"Flowers of Literature (1801–02): 454–55."
"97";"1801A025";"1801A025_1";"Critical Review";" 2nd ser. 34 (Jan 1802): 116–17.";"1";"Critical Review, 2nd ser. 34 (Jan 1802): 116–17."
"98";"1801A026";"1801A026_1";"Critical Review";" 2nd ser. 34 (Feb 1802): 235–37.";"1";"Critical Review, 2nd ser. 34 (Feb 1802): 235–37."
"99";"1801A026";"1801A026_2";"Flowers of Literature";"Flowers of Literature (1801–02): 448.";"1";"Flowers of Literature (1801–02): 448."
"100";"1801A026";"1801A026_3";"Flowers of Literature";" Mrs.";"0";"Flowers of Literature for 1801–02: ‘The justly-celebrated author of an Essay on Education, Mrs."
"101";"1801A026";"1801A026_4";"Monthly Review";" 2nd ser. 37 (Apr 1802): 368–74.";"1";"Monthly Review, 2nd ser. 37 (Apr 1802): 368–74."
"102";"1801A027";"1801A027_1";"Monthly Review";" 2nd ser. 39 (Nov 1802): 334–35.";"1";"Monthly Review, 2nd ser. 39 (Nov 1802): 334–35."
"103";"1801A030";"1801A030_1";"Critical Review";" 2nd ser. 32 (June 1801): 231.";"1";"Critical Review, 2nd ser. 32 (June 1801): 231."
"104";"1801A030";"1801A030_2";"Flowers of Literature";"Flowers of Literature (1801–02): 453.";"1";"Flowers of Literature (1801–02): 453."
"105";"1801A030";"1801A030_3";"Monthly Review";" 2nd ser. 37 (Jan 1802): 27–30.";"1";"Monthly Review, 2nd ser. 37 (Jan 1802): 27–30."
"106";"1801A031";"1801A031_1";"Critical Review";" 2nd ser. 36 (Sept 1802): 117–18.";"1";"Critical Review, 2nd ser. 36 (Sept 1802): 117–18."
"107";"1801A033";"1801A033_1";"Critical Review";" 2nd ser. 32 (Aug 1801): 470.";"1";"Critical Review, 2nd ser. 32 (Aug 1801): 470."
"108";"1801A033";"1801A033_2";"Monthly Review";" 2nd ser. 38 (July 1802): 313.";"1";"Monthly Review, 2nd ser. 38 (July 1802): 313."
"109";"1801A034";"1801A034_1";"Critical Review";" becomes the husband of Isabel.Notes: Listed under ‘Monthly Catalogue: Novels’.";"0";"Critical Review, 2nd ser. 34 (Feb 1802) 237–38.The young baron Fitzwalter marries Blanch Stanley against his father’s consent; and so privately; that the old lord supposes them as living together without the ceremony having been performed.Blanch dies in child-bed of a daughter; and some time after her death young Fitzwalter is prevailed on to marry Edith Montford, whom his father had designed for his wife from the beginning. She also has a daughter by Fitzwalter, to whom the name of Isabel is given, as was that of Margaret to his daughter by Blanch Stanley. These two children are brought up together till the latter is in her ninth year and the former in her sixth, when Fitzwalter pays the solemn debt of nature. Edith, who believes Margaret to be illegitimate, treats her as such, as does her second husband lord de Launcy; but by the unwearied endeavours of father Austin, her nurse Alice, and a youth named Leopold, she is established in her rights, and gets the estate of Fitzwalter. If the author were asked why, during the seven years that the baron and Edith were married, he did not prove to her the legitimacy of Margaret which he was continually denying, she would be puzzled for an answer; except it were that then her tale would have been ended. Upon the whole, however, the story is artfully, and in many places very affectingly, told, and will procure Mrs. Helme considerable credit among the readers of novels. Friar Austin proves in the end to be count Hoffman in a state of pe-[237/238]nance, and in the peasant Leopold is discovered his son;—of course he must marry Margaret, or all had not ended in a wedding. His cousin Ferdinand, too, becomes the husband of Isabel.Notes: Listed under ‘Monthly Catalogue: Novels’."
"110";"1801A035";"1801A035_1";"Critical Review";" 2nd ser. 32 (June 1801): 232–33.";"1";"Critical Review, 2nd ser. 32 (June 1801): 232–33."
"111";"1801A036";"1801A036_1";"Critical Review";" 2nd ser. 33 (Sept 1801): 113.";"1";"Critical Review, 2nd ser. 33 (Sept 1801): 113."
"112";"1801A037";"1801A037_1";"Critical Review";" 2nd ser. 34 (Mar 1802): 355–56.";"1";"Critical Review, 2nd ser. 34 (Mar 1802): 355–56."
"113";"1801A037";"1801A037_2";"Monthly Review";" 2nd ser. 39 (Dec 1802): 427.";"1";"Monthly Review, 2nd ser. 39 (Dec 1802): 427."
"114";"1801A038";"1801A038_1";"Critical Review";" 2nd ser. 34 (Mar 1802): 356.";"1";"Critical Review, 2nd ser. 34 (Mar 1802): 356."
"115";"1801A041";"1801A041_1";"Critical Review";" 2nd ser. 34 (Apr 1802): 476.";"1";"Critical Review, 2nd ser. 34 (Apr 1802): 476."
"116";"1801A043";"1801A043_1";"Critical Review";" 2nd ser. 32 (June 1801): 232.";"1";"Critical Review, 2nd ser. 32 (June 1801): 232."
"117";"1801A044";"1801A044_1";"Critical Review";" 2nd ser. 33 (Oct 1801): 207–15.";"1";"Critical Review, 2nd ser. 33 (Oct 1801): 207–15."
"118";"1801A044";"1801A044_2";"Monthly Review";" 2nd ser. 38 (July 1802): 331–32.";"1";"Monthly Review, 2nd ser. 38 (July 1802): 331–32."
"119";"1801A046";"1801A046_1";"Critical Review";" 2nd ser. 33 (Dec 1801): 460.";"1";"Critical Review, 2nd ser. 33 (Dec 1801): 460."
"120";"1801A046";"1801A046_2";"Monthly Review";" 2nd ser. 35 (Aug 1801): 428–29.";"1";"Monthly Review, 2nd ser. 35 (Aug 1801): 428–29."
"121";"1801A047";"1801A047_1";"Critical Review";" 2nd ser. 33 (Sept 1801): 113.";"1";"Critical Review, 2nd ser. 33 (Sept 1801): 113."
"122";"1801A048";"1801A048_1";"Critical Review";" 2nd ser. 34 (Apr 1802): 475.";"1";"Critical Review, 2nd ser. 34 (Apr 1802): 475."
"123";"1801A048";"1801A048_2";"Monthly Review";" 2nd ser. 41 (May 1803): 104.";"1";"Monthly Review, 2nd ser. 41 (May 1803): 104."
"124";"1801A050";"1801A050_1";"Critical Review";" 2nd ser. 32 (July 1801): 351–52.";"1";"Critical Review, 2nd ser. 32 (July 1801): 351–52."
"125";"1801A052";"1801A052_1";"Critical Review";" 2nd ser. 33 (Nov 1801): 353.";"1";"Critical Review, 2nd ser. 33 (Nov 1801): 353."
"126";"1801A053";"1801A053_1";"Critical Review";" 2nd ser. 32 (Aug 1801): 469.";"1";"Critical Review, 2nd ser. 32 (Aug 1801): 469."
"127";"1801A055";"1801A055_1";"Critical Review";" 2nd ser. 33 (Oct 1801): 237.";"1";"Critical Review, 2nd ser. 33 (Oct 1801): 237."
"128";"1801A056";"1801A056_1";"Critical Review";" 2nd ser. 35 (May 1802): 114–17.";"1";"Critical Review, 2nd ser. 35 (May 1802): 114–17."
"129";"1801A056";"1801A056_2";"Flowers of Literature";"Flowers of Literature (1801–02): 451.";"1";"Flowers of Literature (1801–02): 451."
"130";"1801A056";"1801A056_3";"Monthly Review";" 2nd ser. 35 (June 1801): 163–66.";"1";"Monthly Review, 2nd ser. 35 (June 1801): 163–66."
"131";"1801A058";"1801A058_1";"Critical Review";" 3rd ser. 3 (Oct 1804): 237.";"1";"Critical Review, 3rd ser. 3 (Oct 1804): 237."
"132";"1801A058";"1801A058_2";"Flowers of Literature";"Flowers of Literature (1801–02): 461.";"1";"Flowers of Literature (1801–02): 461."
"133";"1801A059";"1801A059_1";"Critical Review";" 2nd ser. 32 (July 1801): 352.";"1";"Critical Review, 2nd ser. 32 (July 1801): 352."
"134";"1801A060";"1801A060_1";"Critical Review";" 2nd ser. 34 (Apr 1802): 475–76.";"1";"Critical Review, 2nd ser. 34 (Apr 1802): 475–76."
"135";"1801A060";"1801A060_2";"Monthly Review";" 2nd ser. 41 (May 1803): 103.";"1";"Monthly Review, 2nd ser. 41 (May 1803): 103."
"136";"1801A061";"1801A061_1";"Critical Review";" 2nd ser. 31 (Apr 1801): 474.";"1";"Critical Review, 2nd ser. 31 (Apr 1801): 474."
"137";"1801A061";"1801A061_2";"Monthly Review";" 2nd ser. 35 (Aug 1801): 427–28.";"1";"Monthly Review, 2nd ser. 35 (Aug 1801): 427–28."
"138";"1801A065";"1801A065_1";"Critical Review";" 2nd ser. 33 (Sept 1801): 112.";"1";"Critical Review, 2nd ser. 33 (Sept 1801): 112."
"139";"1801A065";"1801A065_2";"Monthly Review";" 2nd ser. 40 (Feb 1803): 207.";"1";"Monthly Review, 2nd ser. 40 (Feb 1803): 207."
"140";"1801A066";"1801A066_1";"Critical Review";" 2nd ser. 35 (May 1802): 112.";"1";"Critical Review, 2nd ser. 35 (May 1802): 112."
"141";"1801A067";"1801A067_1";"Critical Review";" 2nd ser. 31 (Feb 1801): 234–35.";"1";"Critical Review, 2nd ser. 31 (Feb 1801): 234–35."
"142";"1801A067";"1801A067_2";"Monthly Review";" 2nd ser. 35 (Aug 1801): 356–61.";"1";"Monthly Review, 2nd ser. 35 (Aug 1801): 356–61."
"143";"1801A068";"1801A068_1";"Critical Review";" 2nd ser. 33 (Dec 1801): 460–61.";"1";"Critical Review, 2nd ser. 33 (Dec 1801): 460–61."
"144";"1801A068";"1801A068_2";"Monthly Review";" 2nd ser. 38 (July 1802): 313.";"1";"Monthly Review, 2nd ser. 38 (July 1802): 313."
"145";"1802A001";"1802A001_1";"Flowers of Literature";"Flowers of Literature (1803): 442–43.";"1";"Flowers of Literature (1803): 442–43."
"146";"1802A001";"1802A001_2";"Monthly Review";" 2nd ser. 40 (Feb 1803): 208.";"1";"Monthly Review, 2nd ser. 40 (Feb 1803): 208."
"147";"1802A003";"1802A003_1";"Critical Review";" 2nd ser. 34 (Apr 1802): 476.";"1";"Critical Review, 2nd ser. 34 (Apr 1802): 476."
"148";"1802A005";"1802A005_1";"Critical Review";" 2nd ser. 34 (Mar 1802): 356.";"1";"Critical Review, 2nd ser. 34 (Mar 1802): 356."
"149";"1802A005";"1802A005_2";"Monthly Review";" 2nd ser. 40 (Feb 1803): 207–08.";"1";"Monthly Review, 2nd ser. 40 (Feb 1803): 207–08."
"150";"1802A007";"1802A007_1";"Critical Review";" 2nd ser. 36 (Sept 1802): 117.";"1";"Critical Review, 2nd ser. 36 (Sept 1802): 117."
"151";"1802A011";"1802A011_1";"Critical Review";" 2nd ser. 37 (Feb 1803): 237–38.";"1";"Critical Review, 2nd ser. 37 (Feb 1803): 237–38."
"152";"1802A014";"1802A014_1";"Critical Review";" 2nd ser. 36 (Nov 1802): 357.";"1";"Critical Review, 2nd ser. 36 (Nov 1802): 357."
"153";"1802A014";"1802A014_2";"Flowers of Literature";"Flowers of Literature (1803): 454.";"1";"Flowers of Literature (1803): 454."
"154";"1802A014";"1802A014_3";"Flowers of Literature";" the unknown authors of Monkton [EN2 1802: 58] and of Le Forester stand eminently conspicuous.";"0";"Flowers of Literature for 1803: ‘Among the novel writers of the male sex, the unknown authors of Monkton [EN2 1802: 58] and of Le Forester stand eminently conspicuous."
"155";"1802A014";"1802A014_4";"Monthly Review";" 2nd ser. 44 (May 1804): 44–46.";"1";"Monthly Review, 2nd ser. 44 (May 1804): 44–46."
"156";"1802A016";"1802A016_1";"Critical Review";" 2nd ser. 37 (Jan 1803): 117.";"1";"Critical Review, 2nd ser. 37 (Jan 1803): 117."
"157";"1802A016";"1802A016_2";"Monthly Review";" Appendix to 2nd ser. 57 (Sept–Dec 1808): 479–82.";"1";"Monthly Review, Appendix to 2nd ser. 57 (Sept–Dec 1808): 479–82."
"158";"1802A019";"1802A019_1";"Critical Review";" 2nd ser. 36 (Nov 1802): 356.";"1";"Critical Review, 2nd ser. 36 (Nov 1802): 356."
"159";"1802A019";"1802A019_2";"Flowers of Literature";"Flowers of Literature (1803): 452.";"1";"Flowers of Literature (1803): 452."
"160";"1802A019";"1802A019_3";"Flowers of Literature";"Flowers of Literature for 1803: ‘Mrs.";"0";"Flowers of Literature for 1803: ‘Mrs."
"161";"1802A019";"1802A019_4";"Monthly Review";" 2nd ser. 41 (May 1803): 102–03.";"1";"Monthly Review, 2nd ser. 41 (May 1803): 102–03."
"162";"1802A020";"1802A020_1";"Critical Review";" 2nd ser. 36 (Sept 1802): 117.";"1";"Critical Review, 2nd ser. 36 (Sept 1802): 117."
"163";"1802A021";"1802A021_1";"Critical Review";" 2nd ser. 38 (May 1803): 115–16.";"1";"Critical Review, 2nd ser. 38 (May 1803): 115–16."
"164";"1802A022";"1802A022_1";"Monthly Review";" 2nd ser. enlarged ser. 40 (Jan   1803): 109.";"1";"Monthly Review, 2nd ser. enlarged ser. 40 (Jan   1803): 109."
"165";"1802A023";"1802A023_1";"Critical Review";" 2nd ser. 36 (Dec 1802): 478.";"1";"Critical Review, 2nd ser. 36 (Dec 1802): 478."
