;Unnamed: 0_x;id;review;review_title;date_x;notes_x;full_meta;Unnamed: 0_y;date_y;author;gender;title;publication;format;cat;notes_y;further_eds
17;18.0;1800A020;1800A020_2;Monthly Review; 33 (Sept 1800): 11112.;1;Monthly Review, 33 (Sept 1800): 11112.;20;1800.0;;Male.;ZIMAO THE AFRICAN TRANSLATED BY THE REV WEEDEN BUTLER MA OF SIDNEY SUSSEX COLLEGE CAMBRIDGE;"London:Printed for Vernor and Hood, in the Poultry; by S. Rousseau, Wood Street, Spa Fields, 1800. ";1 vol.  (xi, 105p). 8°.;"BL 837.b.35(1); EN2 1800: 21; ESTC t075674; OCLC 6317807.";"ESTC states this appears not to be a translation. Small engraving on t.p. Preface addressed to 'Courteous Reader' and signed W. B., Cheynè Walk, Chelsea. Dedication 'to A Lady eminent for her private qualities and her public station', pp. [v]<U+0096>x; six-line verse quotation from Darwin, p. xi. Text ends on p. 71 and the rest is an appendix concerning slavery.";"Dublin 1800 (ESTC); 2nd edn 1807 (NSTC)."
18;19.0;1800A022;1800A022_1;Critical Review; 2nd ser. 31 (Mar 1801): 35556.;1;Critical Review, 2nd ser. 31 (Mar 1801): 35556.;22;1800.0;Emily CLARK ;Female.;ERMINA MONTROSE OR THE COTTAGE OF THE VALE IN THREE VOLUMES WITH CHARACTERS FROM LIFE BY EMILY CLARK GRANDDAUGHTER OF THE LATE COLONEL FREDERICK AND AUTHOR OF IANTHE OR THE FLOWER OF CAERNARVON;London:Printed for the Author, and sold by James Wallis, Paternoster-Row, 1800. ;"3 vols (I viii, 239p; II 272p; III 244p). 12°.";"Corvey; CME 3-628-47290-3; EM 131: 5; EN2 1800: 23; ESTC t070069; xOCLC.";Dedication 'to the Right Honorable Countess of Shaftesbury', signed Emily Clark, No 4, Cockspur-street, Haymarket. 'List of Subscribers', vol. 1, pp. [iii]<U+0096>viii.;
19;20.0;1800A025;1800A025_1;Critical Review; 2nd ser. 29 (May 1800): 115.;1;Critical Review, 2nd ser. 29 (May 1800): 115.;25;1800.0;Helen CRAIK ;Female.;HENRY OF NORTHUMBERLAND OR THE HERMITS CELL A TALE OF THE FIFTEENTH CENTURY IN THREE VOLUMES;London:Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800. ;"3 vols (I xii, 233p, ill.; II 247p; III 249p). 12°.";"Corvey; CME 3-628-47777-8; EN2 1800: 26; ESTC t200843; OCLC 31498366.";;Dublin 1800 (ESTC).
20;21.0;1800A026;1800A026_1;Critical Review; 2nd ser. 31 (Feb 1801): 23536.;1;Critical Review, 2nd ser. 31 (Feb 1801): 23536.;26;1800.0;Mrs CROFFTS ;Female.;ANKERWICK CASTLE A NOVEL IN FOUR VOLUMES BY MRS CROFFTS;London:Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800. ;"4 vols (I 286p; II 251p; III 259p; IV 249p). 12°.";"Corvey; CME 3-628-47352-7; EN2 1800: 27; ESTC n042635; OCLC 42783029.";;German trans., 1801 [as Schloß Ankerwick. Ein Sittengemälde nach der Natur (RS)].
21;22.0;1800A027;1800A027_1;Monthly Review; 33 (Oct 1800): 224.;1;Monthly Review, 33 (Oct 1800): 224.;27;1800.0;Edward DUBOIS ;Male.;ST GODWIN A TALE OF THE SIXTEENTH SEVENTEENTH AND EIGHTEENTH CENTURY BY COUNT REGINALD DE ST LEON;London:Printed for J. Wright, Piccadilly, 1800. ;1 vol.  (xxiii, 235p). 12°.;"BL 12613.d.8; EM 276: 4; EN2 1800: 28; ESTC t070070; OCLC 11776820.";Dedication to Mrs Sheridan. Preface dated 26 Dec 1799. A satire of William Godwin's St. Leon (EN1 1799: 42).;"2nd edn (corrected) 1800 (OCLC); Dublin 1800 (ESTC)."
22;23.0;1800A029;1800A029_1;Monthly Review; 2nd ser. 32 (May 1800): 9192.;1;Monthly Review, 2nd ser. 32 (May 1800): 9192.;29;1800.0;Maria EDGEWORTH ;Female.;CASTLE RACKRENT AN HIBERNIAN TALE TAKEN FROM FACTS AND FROM THE MANNERS OF THE IRISH SQUIRES BEFORE THE YEAR 1782;London:Printed for J. Johnson, St. Paul's Church-Yard, 1800. ;1 vol.  (xliv, 182p). 8°.;"BL 12611.f.4; ECB 178 (3rd edn); EM 58: 1; EN2 1800: 30; ESTC t057317; OCLC 17804611.";Printer information, 'By J. Crowder, Warwick-Square', after imprint date. 'Advertisement to the English Reader', followed by 'Glossary', pp. [xv]<U+0096>xliv.;"1800 (ESTC); Dublin 1800 (ESTC); 2nd edn 1801 (OCLC); 2nd edn Dublin 1801 (NSTC); 3rd edn 1801 (Corvey), CME 3-628-47575-9; 3rd edn Dublin 1802 (NSTC); 4th edn 1804 (NSTC); 5th edn 1810 (NSTC); 5th edn Dublin 1810 (NSTC); [at least 3 more edns to 1850]; Boston 1814 (OCLC); German trans., 1802."
23;24.0;1800A034;1800A034_1;Critical Review; 2nd ser. 32 (May 1801): 107.;1;Critical Review, 2nd ser. 32 (May 1801): 107.;34;1800.0;Mrs E. M. FOSTER ;Female.;MIRIAM A NOVEL IN TWO VOLUMES BY THE AUTHOR OF FREDERIC  CAROLINE REBECCA JUDITH C;London:Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800. ;"2 vols (I 262p; II 271p). 12°.";"Corvey; CME 3-628-48168-6; EM 1000: 5; EN2 1800: 35; ESTC n004164; OCLC 42866477.";;German trans., 1801.
24;25.0;1800A036;1800A036_1;Monthly Review; 35 (July 1801): 333.;1;Monthly Review, 35 (July 1801): 333.;36;1800.0;Giuseppe A. GRAGLIA ;Male.;THE CASTLE OF ERIDAN OR THE ENTERTAINING AND SURPRISING HISTORY OF THE VALIANT DON ALVARES AND THE BEAUTIFUL EUGENIA DUCHESS OF SAVOY BY G A GRAGLIA;"London:Printed by H. Baldwin and Son, New Bridge-Street; and sold by T. Hurst, Paternoster-Row, Lackington and Co. Finsbury-Square; Boosey, No. 4, Broad-Street; Vernor and Hood, Poultry; J. Wright, Piccadilly; W. Miller, Old Bond-Street; and all the principal Booksellers in London, 1800. ";1 vol.  (viii, 248p). 12°.;"Corvey; CME 3-628-47792-1; ECB 238; EM 7091: 6; EN2 1800: 37; ESTC t073519; OCLC 42206855.";"ESTC notes pp. iv and 178 misnumbered v and 78; this is matched by the Corvey copy.";
25;26.0;1800A037;1800A037_1;Critical Review; 2nd ser. 28 (Apr 1800): 47778.;1;Critical Review, 2nd ser. 28 (Apr 1800): 47778.;37;1800.0;Susannah GUNNING [née MINIFIE, Susannah] ;Female.;FASHIONABLE INVOLVEMENTS A NOVEL BY MRS GUNNING IN THREE VOLUMES;"London:Printed by T. Gillet, Salisbury-Square; and sold by T. N. Longman and O. Rees, Paternoster-Row, 1800. ";"3 vols (I 236p; II 237p; III 207p). 12°.";"University of Alberta PR3505.G85.F24.1800; EN2 1800: 38; ESTC n009730; OCLC 8527422.";;"Dublin 1800 (ESTC); 1800 (ESTC), EM 2265: 2; 3rd edn 1800 (Corvey), CME 3-628-47583-X."
26;27.0;1800A038;1800A038_1;Critical Review; 2nd ser. 29 (July 1800): 31113.;1;Critical Review, 2nd ser. 29 (July 1800): 31113.;38;1800.0;Elizabeth HAMILTON ;Female.;MEMOIRS OF MODERN PHILOSOPHERS IN THREE VOLUMES;Bath:Printed by R. Cruttwell, for G. G. and J. Robinson, Pater-Noster-Row, London, 1800. ;"3 vols (I xvi, 335p; II 402p; III 366p). 8°.";"Corvey; CME 3-628-48063-9; ECB 252 (2nd edn); EM 130: 1; EN2 1800: 39; ESTC t064746; OCLC 5084139.";A letter to 'Mr. Robinson, Bookseller, Pater-Noster-Row', signed by Geoffry Jarvis [pseud.], pp. [v]<U+0096>xvi.;"1800 (ESTC); Dublin 1800 (ESTC); 3rd edn London 1801 (NSTC); Dublin 1801 (OCLC); 4th edn London & Bath 1804 (NSTC); French trans., 1802 [as Bridgetina ou les philosophes modernes (NSTC)]."
27;28.0;1800A038;1800A038_2;Monthly Review; 2nd ser. 34 (Apr 1801): 41316.;1;Monthly Review, 2nd ser. 34 (Apr 1801): 41316.;38;1800.0;Elizabeth HAMILTON ;Female.;MEMOIRS OF MODERN PHILOSOPHERS IN THREE VOLUMES;Bath:Printed by R. Cruttwell, for G. G. and J. Robinson, Pater-Noster-Row, London, 1800. ;"3 vols (I xvi, 335p; II 402p; III 366p). 8°.";"Corvey; CME 3-628-48063-9; ECB 252 (2nd edn); EM 130: 1; EN2 1800: 39; ESTC t064746; OCLC 5084139.";A letter to 'Mr. Robinson, Bookseller, Pater-Noster-Row', signed by Geoffry Jarvis [pseud.], pp. [v]<U+0096>xvi.;"1800 (ESTC); Dublin 1800 (ESTC); 3rd edn London 1801 (NSTC); Dublin 1801 (OCLC); 4th edn London & Bath 1804 (NSTC); French trans., 1802 [as Bridgetina ou les philosophes modernes (NSTC)]."
28;29.0;1800A039;1800A039_1;Critical Review; 2nd ser. 32 (June 1801): 231.;1;Critical Review, 2nd ser. 32 (June 1801): 231.;39;1800.0;Mary Ann HANWAY ;Female.;ANDREW STUART OR THE NORTHERN WANDERER A NOVEL IN FOUR VOLUMES BY MARY ANN HANWAY AUTHOR OF ELLINOR OR THE WORLD AS IT IS;London:Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800. ;"4 vols (I vi, 267p; II 314p; III 342p; IV 418p). 12°.";"Corvey; CME 3-628-47624-0; EM 193: 1; EN2 1800: 40; ESTC t093969; OCLC 6778820.";Dedication to Major John Scot Waring signed Manchester-Street, Manchester-Square.;
29;30.0;1800A040;1800A040_1;Critical Review; 2nd ser. 31 (Mar 1801): 35455.;0;Critical Review, 2nd ser. 31 (Mar 1801): 35455.;40;1800.0;Catherine HARRIS ;Female.;EDWARDINA A NOVEL IN TWO VOLUMES DEDICATED TO MRS SOUTER JOHNSTON BY CATHERINE HARRIS;London:Printed for the Author, at the Minerva-Press, by William Lane, Leadenhall-Street, 1800. ;"2 vols (I iv, 229p; II 263p). 12°.";"Corvey; CME 3-628-47629-1; EM 1005: 14; EN2 1800: 41; ESTC n003448; OCLC 13357328.";'List of Subscribers' (4 pp. unn.) at beginning of vol. 1.;
30;31.0;1800A040;1800A040_2;Critical Review; and speak our thoughts upon the subject.;1;Critical Reviewers, set aside a resolution so determinately bent on writing? We have not the vanity to expect such a power: but yet we will be bold, and speak our thoughts upon the subject.;40;1800.0;Catherine HARRIS ;Female.;EDWARDINA A NOVEL IN TWO VOLUMES DEDICATED TO MRS SOUTER JOHNSTON BY CATHERINE HARRIS;London:Printed for the Author, at the Minerva-Press, by William Lane, Leadenhall-Street, 1800. ;"2 vols (I iv, 229p; II 263p). 12°.";"Corvey; CME 3-628-47629-1; EM 1005: 14; EN2 1800: 41; ESTC n003448; OCLC 13357328.";'List of Subscribers' (4 pp. unn.) at beginning of vol. 1.;
31;32.0;1800A041;1800A041_1;Critical Review; 3rd ser. 22 (Mar 1811): 30006.;1;Critical Review, 3rd ser. 22 (Mar 1811): 30006.;41;1800.0;Elizabeth HERVEY ;Female.;THE MOURTRAY FAMILY A NOVEL IN FOUR VOLUMES;London:Printed by Millar Ritchie, Middle Street, Cloth Fair, for R. Faulder, New Bond Street, 1800. ;"4 vols (I 299p; II 281p; III 276p; IV 276p). 12°.";"Corvey; CME 3-628-48388-3; EM 2504: 1; EN2 1800: 42; ESTC n005765; OCLC 6793209.";ECB 266 lists Colburn edn, 1810.;"2nd edn 1810 (NSTC); 3rd edn 1814 (NSTC); French trans., 1802."
32;33.0;1800A043;1800A043_1;Critical Review; 2nd ser. 31 (Apr 1801): 47475.;1;Critical Review, 2nd ser. 31 (Apr 1801): 47475.;43;1800.0;Samuel William Henry IRELAND ;Male.;RIMUALDO OR THE CASTLE OF BADAJOS A ROMANCE BY W H IRELAND AUTHOR OF THE ABBESS C C IN FOUR VOLUMES;London:Printed by A. Strahan, Printers-Street, for T. N. Longman and O. Rees, Paternoster-Row, 1800. ;"4 vols (I 190p; II 216p; III 239p; IV 283p). 12°.";"Corvey; CME 3-628-47946-0; EN2 1800: 44; ESTC n048052; OCLC 6818425.";;French trans., 1823 [as Les Brigands de l'Estramadure, ou l'orphelin de la forêt (Maurice Lévy, 'Bibliographie Chronologique', in his Le Roman <U+0091>gothique<U+0092> Anglais 1764<U+0096>1824 (Toulouse, 1968))].
33;34.0;1800A043;1800A043_2;Monthly Review; 2nd ser. 34 (Feb 1801): 203-04.;1;Monthly Review, 2nd ser. 34 (Feb 1801): 203-04.;43;1800.0;Samuel William Henry IRELAND ;Male.;RIMUALDO OR THE CASTLE OF BADAJOS A ROMANCE BY W H IRELAND AUTHOR OF THE ABBESS C C IN FOUR VOLUMES;London:Printed by A. Strahan, Printers-Street, for T. N. Longman and O. Rees, Paternoster-Row, 1800. ;"4 vols (I 190p; II 216p; III 239p; IV 283p). 12°.";"Corvey; CME 3-628-47946-0; EN2 1800: 44; ESTC n048052; OCLC 6818425.";;French trans., 1823 [as Les Brigands de l'Estramadure, ou l'orphelin de la forêt (Maurice Lévy, 'Bibliographie Chronologique', in his Le Roman <U+0091>gothique<U+0092> Anglais 1764<U+0096>1824 (Toulouse, 1968))].
34;35.0;1800A044;1800A044_1;Critical Review; 2nd ser. 31 (Feb 1801): 235.;1;Critical Review, 2nd ser. 31 (Feb 1801): 235.;44;1800.0;Mrs A. KENDALL ;Female.;TALES OF THE ABBEY FOUNDED ON HISTORICAL FACTS IN THREE VOLUMES BY A KENDALL AUTHOR OF DERWENT PRIORY THE CASTLE ON THE ROCK C C;"London:Printed by C. Whittingham, Dean Street, Fetter Lane; for H. D. Symonds, Paternoster-Row, 1800. ";"3 vols (I iv, 268p; II 314p; III 252p). 12°.";"Corvey; CME 3-628-47996-7; EN2 1800: 45; ESTC n047689; OCLC 16721714.";'Advertisement' dated Isleworth, 1 Sept 1800.;Dublin 1801 (OCLC).
35;36.0;1800A045;1800A045_1;Critical Review; 2nd ser. 29 (May 1800): 116.;1;Critical Review, 2nd ser. 29 (May 1800): 116.;45;1800.0;Anne KER ;Female.;ADELINE ST JULIAN OR THE MIDNIGHT HOUR A NOVEL IN TWO VOLUMES BY MRS ANNE KER AUTHOR OF THE HEIRESS DI MONTALDE C;"London:Printed by J. Bonsor, Salisbury Square; for J. and E. Kerby, Bond Street; and sold by T. Hurst, Paternoster Row, 1800. ";"2 vols (I 225p, ill.; II 228p). 12°.";"Corvey; CME 3-628-47994-0; EM 286: 4; EN2 1800: 46; ESTC t070733; OCLC 6853516.";Frontispiece depicts a ghost.;
36;37.0;1800A045;1800A045_2;Monthly Review; 33 (Sept 1800): 103.;1;Monthly Review, 33 (Sept 1800): 103.;45;1800.0;Anne KER ;Female.;ADELINE ST JULIAN OR THE MIDNIGHT HOUR A NOVEL IN TWO VOLUMES BY MRS ANNE KER AUTHOR OF THE HEIRESS DI MONTALDE C;"London:Printed by J. Bonsor, Salisbury Square; for J. and E. Kerby, Bond Street; and sold by T. Hurst, Paternoster Row, 1800. ";"2 vols (I 225p, ill.; II 228p). 12°.";"Corvey; CME 3-628-47994-0; EM 286: 4; EN2 1800: 46; ESTC t070733; OCLC 6853516.";Frontispiece depicts a ghost.;
37;38.0;1800A046;1800A046_1;Critical Review; 2nd ser. 30 (Oct 1800): 231.;1;Critical Review, 2nd ser. 30 (Oct 1800): 231.;46;1800.0;Anna Maria BENNETT? orEliza LAKE? ;Female.;DE VALCOURT IN TWO VOLUMES;London:Printed for R. Dutton, Birchin-Lane, Cornhill, 1800. ;"2 vols (I 262p; II 250p). 12°.";"BL 12612.aaa.29; EM 137: 6; EN2 1800: 48; ESTC t064714; xOCLC.";"Attributed in Block and OCLC to Anna Maria Bennett, the latter following the t.p. attribution to 'Mrs. Bennett' of the Philadelphia 1801 edn; the Dublin edn of 1800 (perhaps the original source of the attribution) also states 'by Mrs. Bennett' on its t.p. (Bru ENC copy). But the title is given as a work 'by the author' in Eliza Lake's The Wheel of Fortune (EN2 1806: 41). ESTC cites the  attribution to Bennett doubtfully.";"Dublin 1800 (Bru ENC); Philadelphia 1801 (OCLC)."
