"","Text","canonisation_score","Score.Range","class","time_agnostic","time_sensitive","pub_year","wikiname","wikiID"
"35","GRANDISON_DER_ZWEYTE_noWikiID",0.0560723413501725,"Low (0-0.25)","No Review, Catalogue",0,1,1760,"GRANDISON_DER_ZWEYTE","noWikiID"
"36","HAMMER_UND_AMBOSS_noWikiID",0.0221068485323305,"Low (0-0.25)","Review & Catalogue",1,0,1869,"HAMMER_UND_AMBOSS","noWikiID"
"37","HERRMANN_UND_ULRIKE_noWikiID",0.0691979459011065,"Low (0-0.25)","No Review, Catalogue",0,1,1780,"HERRMANN_UND_ULRIKE","noWikiID"
"38","ISEGRIMM_noWikiID",0.0205467828522686,"Low (0-0.25)","Review & Catalogue",0,1,1854,"ISEGRIMM","noWikiID"
"39","JAKOB_DER_LETZTE_Q15507850",0.0645339993923284,"Low (0-0.25)","Review & Catalogue",1,0,1888,"JAKOB_DER_LETZTE","Q15507850"
"40","JAKOBS_DES_HANDWERKSGESELLEN_WANDERUNGEN_DURCH_DIE_SCHWEIZ_noWikiID",0.0560723413501725,"Low (0-0.25)","No Review, Catalogue",1,0,1846,"JAKOBS_DES_HANDWERKSGESELLEN_WANDERUNGEN_DURCH_DIE_SCHWEIZ","noWikiID"
"41","JULCHEN_GRUENTHAL_noWikiID",0.0205467828522686,"Low (0-0.25)","No Review & No Catalogue",0,1,1784,"JULCHEN_GRUENTHAL","noWikiID"
"42","KINDER_DER_WELT_noWikiID",0.0560723413501725,"Low (0-0.25)","No Review & No Catalogue",1,0,1873,"KINDER_DER_WELT","noWikiID"
"43","LEBEN_DER_SCHWEDISCHEN_GRAEFIN_VON_G_noWikiID",0.184109855669026,"Low (0-0.25)","No Review, Catalogue",0,1,1747,"LEBEN_DER_SCHWEDISCHEN_GRAEFIN_VON_G","noWikiID"
"44","LEBENS-ANSICHTEN_DES_KATERS_MURR_Q1314475",0.425970768854918,"Mid-Low (0.25-0.5)","Review & Catalogue",0,1,1820,"LEBENS-ANSICHTEN_DES_KATERS_MURR","Q1314475"
"45","MARIA_noWikiID",0.0394945910733656,"Low (0-0.25)","No Review, Catalogue",0,1,1784,"MARIA","noWikiID"
"46","MUENCHHAUSEN_noWikiID",0.0237824899093644,"Low (0-0.25)","Review & Catalogue",0,1,1838,"MUENCHHAUSEN","noWikiID"
"47","NOVELLEN_AUS_OESTERREICH_noWikiID",0.104292668680321,"Low (0-0.25)","No Review, Catalogue",1,1,1877,"NOVELLEN_AUS_OESTERREICH","noWikiID"
"48","RUHE_IST_DIE_ERSTE_BUERGERPFLICHT_noWikiID",0.0237824899093644,"Low (0-0.25)","Review & Catalogue",0,1,1852,"RUHE_IST_DIE_ERSTE_BUERGERPFLICHT","noWikiID"
"49","SCHWARZWAELDER_DORFGESCHICHTEN_Q60982841",0.0455753535426939,"Low (0-0.25)","Review & Catalogue",0,1,1842,"SCHWARZWAELDER_DORFGESCHICHTEN","Q60982841"
"50","SIEGWART_noWikiID",0.0237824899093644,"Low (0-0.25)","No Review, Catalogue",0,1,1776,"SIEGWART","noWikiID"
"51","SOLL_UND_HABEN_(ROMAN)_Q2298931",0.796427302529609,"High (0.75-1.0)","Review & Catalogue",1,1,1855,"SOLL_UND_HABEN_(ROMAN)","Q2298931"
"52","STURMFLUT_noWikiID",0.0221068485323305,"Low (0-0.25)","Review & Catalogue",1,0,1877,"STURMFLUT","noWikiID"
"53","TITAN_(JEAN_PAUL)_Q492384",0.127184961519692,"Low (0-0.25)","No Review, Catalogue",0,1,1800,"TITAN_(JEAN_PAUL)","Q492384"
"54","VERWORRENES_LEBEN_noWikiID",0.0560723413501725,"Low (0-0.25)","No Review & No Catalogue",0,1,1862,"VERWORRENES_LEBEN","noWikiID"
"55","VOR_DEM_STURM_(ROMAN)_Q1273542",0.2221662156401,"Low (0-0.25)","Review & Catalogue",0,1,1878,"VOR_DEM_STURM_(ROMAN)","Q1273542"
"56","WALDHEIMAT_Q41547677",0.0645339993923284,"Low (0-0.25)","No Review & No Catalogue",1,0,1877,"WALDHEIMAT","Q41547677"
"57","WILHELM_MEISTERS_LEHRJAHRE_Q1194031",0.999115717764715,"High (0.75-1.0)","Review & Catalogue",1,1,1794,"WILHELM_MEISTERS_LEHRJAHRE","Q1194031"
"58","WILHELM_MEISTERS_THEATRALISCHE_SENDUNG_Q2574172",0.425970768854918,"Mid-Low (0.25-0.5)","Review, No Catalogue",0,1,1777,"WILHELM_MEISTERS_THEATRALISCHE_SENDUNG","Q2574172"
"59","WILHELM_MEISTERS_WANDERJAHRE_Q478344",0.645431155250413,"Mid-High (0.5-0.75)","Review & Catalogue",1,0,1821,"WILHELM_MEISTERS_WANDERJAHRE","Q478344"
"60","WILLIAM_LOVELL_Q2579763",0.372234887656701,"Mid-Low (0.25-0.5)","No Review, Catalogue",0,1,1795,"WILLIAM_LOVELL","Q2579763"
